setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,5,0.01,6,5.405306286827675,-920.5831557580207,-915.2360482273032,1;2;6;7;8;9,"[0.0, -0.9239120028690211, 2.2550596565764827, 0.0, 0.0, 0.0, -0.02644064851329493, -2.065801932874639, 0.087174911967527, -0.04191735691290614]",249,10,0.0,3,1;2;7,0.6666666666666666,0.09731412143230307,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,0,0.0,10,5.376347402893671,-899.85094592553,-899.85094592553,0;1;2;3;4;5;6;7;8;9,"[0.033093009290606934, -0.9245601938549107, 2.2560069025228633, -0.0073944032227489945, 0.012832559802929496, -0.006785743203834237, -0.026159815407452165, -2.065188481229522, 0.08740003142894705, -0.04217284779255243]",249,10,15.385102301773145,3,1;2;7,0.46153846153846156,0.0982866739397739,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,9,1.0,0,523.7609899622394,185.1520568854657,185.1520568854657,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1140.9796041958411,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,5,0.01,1,5.193367199150172,-958.1301324033695,-955.8275473103755,2,"[0.0, 0.0, 0.9956057963841349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,1,2,1.0,0.004394203615865067,1,1
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,4,0.003,8,5.107899714761278,-923.6398601024742,-919.8331976127039,0;2;3;4;5;7;8;9,"[-0.029254792253310177, 0.0, 0.9694817237700231, 0.008903397906127503, -0.01540937667078764, 0.004817461945828652, 0.0, 0.015275325716114556, -0.015403226973554087, 0.004553549664534163]",249,10,35.99434969767162,1,2,0.2222222222222222,0.05117094066528056,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,0,0.0,10,5.084636964331693,-913.7415575118731,-913.7415575118731,0;1;2;3;4;5;6;7;8;9,"[-0.029142384470420397, 0.0022941792003151086, 0.9527694428980387, 0.009181015902549945, -0.01474464494535772, 0.004656091129020672, 0.0018939767853342051, 0.026349881763059763, -0.023732449230463148, 0.007033627372195627]",249,10,42.085989798502396,1,2,0.18181818181818182,0.06869677302926169,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,9,1.0,2,555.0515855683868,210.63533761611976,214.4420001058901,2;7,"[0.0, 0.0, 1.923276087114724, 0.0, 0.0, 0.0, 0.0, -1.9038085761552221, 0.0, 0.0]",249,10,1106.5334257582867,3,1;2;7,0.8,0.33584707975666434,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,7,0.1,3,7.817742289004746,-845.2508575767025,-840.4633658339204,1;2;7,"[0.0, -0.9886310702667682, 1.9388333394020654, 0.0, 0.0, 0.0, 0.0, -1.929642084478039, 0.0, 0.0]",249,10,51.628059818476345,3,1;2;7,1.0,0.03130645870277583,1,1
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,6,0.03,5,6.060289908019343,-897.6208547399082,-892.0914256523968,1;2;7;8;9,"[0.0, -1.0280640098684288, 2.247514316748594, 0.0, 0.0, 0.0, 0.0, -2.096180330047177, 0.12358680036685077, -0.04321725602764262]",249,10,0.0,3,1;2;7,0.75,0.09913123175136024,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,5,0.01,9,5.746648331954134,-888.7831154208151,-886.480530327821,0;1;2;4;5;6;7;8;9,"[-0.0369737419746639, -0.9710148572100069, 2.2715845520146947, 0.0, -0.03031848044741475, 0.010889954938298502, -0.01722397251683674, -2.0995886504224393, 0.12090690385603803, -0.04498097254266003]",249,10,5.610895324575722,3,1;2;7,0.5,0.10742413249438802,0,0
