setting,system,method,method_label,seed,noise,sparse_factor,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
PDE,fisher_kpp,tv_diff,TV,2,0.01,4,2,10.0,0.0016001012999440757,"[0.005702269789813948, 0.032303252820889916, 0.028775249778721142, 0.024534421411677703, 0.025125210578169566, 0.07983788913400569, 0.0891807572342391, 0.004196725748089115]","[0.00570226978978558, 0.03230325282085671, 0.028775249778688894, 0.024534421411646995, 0.025125210578131503, 0.07983788913398464, 0.08918075723421715, 0.004196725748060112]","[2.8367933002648726e-14, 3.3209546224099995e-14, 3.2248509418408844e-14, 3.070807497174144e-14, 3.80633025098831e-14, 2.105260410445453e-14, 2.195466031196247e-14, 2.900284179485624e-14]","[2.8367933002648726e-14, 3.3209546224099995e-14, 3.2248509418408844e-14, 3.070807497174144e-14, 3.80633025098831e-14, 2.105260410445453e-14, 2.195466031196247e-14, 2.900284179485624e-14]",3.80633025098831e-14,1.346839306748393e-14,"[2.842524298554027e-14, 3.26427071224422e-14, 3.3715687944919814e-14, 3.206143050423188e-14, 3.782527984020395e-14, 2.222933564158976e-14, 2.1516800495285857e-14, 2.907711890558493e-14]",4.440892098500626e-16,1.7763568394002505e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00032188600016525015,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,tv_diff,TV,2,0.01,4,2,100.0,0.0016001012999440757,"[0.005702269790070618, 0.03230325282118234, 0.028775249779016687, 0.024534421411968252, 0.025125210578510856, 0.0798378891342007, 0.08918075723443401, 0.004196725748350781]","[0.00570226978978558, 0.03230325282085671, 0.028775249778688894, 0.024534421411646995, 0.025125210578131503, 0.07983788913398464, 0.08918075723421715, 0.004196725748060112]","[2.850376185081771e-13, 3.256353520164623e-13, 3.2779334802057747e-13, 3.2125690996309686e-13, 3.7935279917356013e-13, 2.1606327837986328e-13, 2.1686819007271652e-13, 2.906685309111978e-13]","[2.850376185081771e-13, 3.256353520164623e-13, 3.2779334802057747e-13, 3.2125690996309686e-13, 3.7935279917356013e-13, 2.1606327837986328e-13, 2.1686819007271652e-13, 2.906685309111978e-13]",3.7935279917356013e-13,1.346839306748393e-14,"[2.8509492849106864e-13, 3.2506504346785256e-13, 3.2926052654708846e-13, 3.226102654955873e-13, 3.7911477650388096e-13, 2.1722960157614265e-13, 2.164390038734198e-13, 2.9074280802192653e-13]",4.440892098500626e-16,1.7763568394002505e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0002567980000094394,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,tv_diff,TV,2,0.01,4,2,1000.0,0.0016001012999440757,"[0.0057022697926373146, 0.032303252824106565, 0.028775249781972136, 0.02453442141487374, 0.02512521058192375, 0.0798378891361507, 0.08918075723638325, 0.004196725750967438]","[0.00570226978978558, 0.03230325282085671, 0.028775249778688894, 0.024534421411646995, 0.025125210578131503, 0.07983788913398464, 0.08918075723421715, 0.004196725748060112]","[2.851734473563461e-12, 3.249858715470566e-12, 3.2832417340422637e-12, 3.226745259876651e-12, 3.7922477658103304e-12, 2.1660589988314882e-12, 2.1661006321949117e-12, 2.9073254220746136e-12]","[2.851734473563461e-12, 3.249858715470566e-12, 3.2832417340422637e-12, 3.226745259876651e-12, 3.7922477658103304e-12, 2.1660589988314882e-12, 2.1661006321949117e-12, 2.9073254220746136e-12]",3.7922477658103304e-12,1.346839306748393e-14,"[2.8517917835463523e-12, 3.2492884069219565e-12, 3.2847089125687746e-12, 3.2280986154091417e-12, 3.7920097431406516e-12, 2.1672322609216715e-12, 2.165661037654759e-12, 2.9073996991853423e-12]",4.440892098500626e-16,1.7763568394002505e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00026845499996852595,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,0.0,0.00011557404110009292,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0004375800003799668,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,0.0001,0.00011661858573743108,"[1.9376662784193605e-05, 2.118006448136802e-05]","[1.921706294461033e-05, 2.0950796843076455e-05]","[1.5959983958327713e-07, 2.2926763829156504e-07]","[1.5959983958327713e-07, 2.2926763829156504e-07]",2.2926763829156504e-07,2.3538318926661045e-06,"[1.595732713386669e-07, 2.2920946884706715e-07]",0.00010022135767082666,1.8879578347723303e-14,0.0,0.9921687661738481,True,25,0.01,1e-05,banded ADMM with dual certificate,0.0014477039999292174,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,0.001,0.00011450742359663412,"[0.00013452013102998846, 0.00015423537199065816]","[0.00012470179920424018, 0.0001460097137536897]","[9.818331825748282e-06, 8.225658236968455e-06]","[9.818331825748282e-06, 8.225658236968455e-06]",9.818331825748282e-06,7.4326983277540545e-06,"[9.81800279993641e-06, 8.225465097170612e-06]",0.0007549032696043262,3.386895798540568e-14,0.0,0.9975208185692487,True,25,0.01,1e-05,banded ADMM with dual certificate,0.0011576460001379019,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,0.01,0.0001137283813800008,"[0.00038561382813660495, 0.0006940497644489986]","[0.0003790625245973073, 0.0006940016264542336]","[6.551303539297632e-06, 4.813799476502574e-08]","[6.551303539297632e-06, 4.813799476502574e-08]",6.551303539297632e-06,2.7172228608896357e-06,"[6.5512840773917765e-06, 4.813772167845936e-08]",0.0001039218030950001,4.93572197002301e-15,0.0,0.999648937790608,True,100,0.40800000000000003,1e-05,banded ADMM with dual certificate,0.003808563999882608,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,0.1,0.00011608893339295484,"[0.0019685602721222313, 0.0050702903003770495]","[0.0019633847980830774, 0.005070233606959736]","[5.175474039153909e-06, 5.669341731316668e-08]","[5.175474039153909e-06, 5.669341731316668e-08]",5.175474039153909e-06,2.6796055212219283e-07,"[5.175473915609288e-06, 5.669341671728917e-08]",1.0547027907592543e-05,8.295447662121092e-15,0.0,0.9999837544993203,True,200,1.02,1e-05,banded ADMM with dual certificate,0.011366894000275352,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,1.0,0.00018842003112544016,"[0.006665216797892473, 0.04009038425915719]","[0.006656413835908426, 0.0400903731138139]","[8.80296198404757e-06, 1.1145343287166654e-08]","[8.80296198404757e-06, 1.1145343287166654e-08]",8.80296198404757e-06,1.443351738808496e-06,"[8.802956694314835e-06, 1.1145342156126947e-08]",8.64025722635553e-07,7.16093850883226e-15,0.0,0.9999712804739693,True,400,81.6,1e-05,banded ADMM with dual certificate,0.022502528999666538,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,10.0,0.0011264327526714017,"[0.006664126163753285, 0.223859585883815]","[0.0066638281584718295, 0.22385958588255092]","[2.980052814550993e-07, 1.2640721802625876e-12]","[2.980052814550993e-07, 1.2640721802625876e-12]",2.980052814550993e-07,2.0761170560490427e-14,"[2.980053282195786e-07, 1.2643636138065517e-12]",1.147194839123955e-09,2.0761170560490427e-14,0.0,1.0,True,300,816.0,1e-05,banded ADMM with dual certificate,0.017163605999940046,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
