setting,system,method,method_label,seed,noise,sparse_factor,equation,feature,coefficient,true_coefficient
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,y,0.9929928694822819,1.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x,-1.0028662279130367,-1.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,y,1.9479194618439506,2.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x*x*y,-1.9532094827844966,-2.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,y,0.9959200585789563,1.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x,-0.9880025145094424,-1.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,y,1.9199263939630717,2.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x*x*y,-1.915711027085275,-2.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,y,1.0011250652682835,1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x,-0.9941286674813742,-1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,y,1.9845206698418327,2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x*x*y,-1.9801359988866478,-2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,y,0.9959142156093921,1.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x,-0.9879962178298586,-1.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,y,1.9198962288606731,2.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x*x*y,-1.9157222907237121,-2.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,y,0.9946991691155097,1.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,x,-0.9932127125725528,-1.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,y,1.943777630464691,2.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,x*x*y,-1.9388216340439248,-2.0
