setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.6666666666666666,0.6666666666666666,0.21974847329926425,0.22220000999318135,0.5454907473487649,0.5465607715526941,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.6666666666666666,0.6666666666666666,0.25122116108780346,0.25098612582496777,0.5329271239406754,0.5328128131137672,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.6666666666666666,0.6666666666666666,0.2880831064843079,0.297823920767973,0.5145869362635515,0.5175649484964255,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5793010265374574,0.579039389246053,0.42219914129136615,0.4221276725997587,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.6666666666666666,0.6666666666666666,0.3016683915506517,0.30279127244962134,0.5117250800968217,0.5121632137602111,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.6666666666666666,0.6666666666666666,0.20960970980864302,0.20959551906569587,0.5511501385768136,0.5511419603039823,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19437396222883394,0.19507010220632778,0.5578644265682405,0.5581724717295351,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.6666666666666666,0.6666666666666666,0.21530511541752004,0.23957428473271683,0.5385816242177064,0.548559088750015,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.6666666666666666,0.6666666666666666,0.2485067171076262,0.2883317004671357,0.5194652845704782,0.5339712294148573,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.6666666666666666,0.6666666666666666,0.30878122805373576,0.29496592884127654,0.5153396844138499,0.5093797591046246,5
