setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.6666666666666666,0.6666666666666666,0.2057693305364742,0.20520983135719179,0.5531734071730421,0.5528973492550614,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,0.6666666666666666,0.6666666666666666,0.19602527122764554,0.1955612909970607,0.5576358111576758,0.5574018231089505,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19873306971516555,0.19653842601357416,0.5571750402592122,0.5561427172648831,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0.6666666666666666,0.6666666666666666,0.22365899096693648,0.24064213786472094,0.537880232412619,0.5448140957472687,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0.6666666666666666,0.6666666666666666,0.2477125360758614,0.24840676650529697,0.5340494365326933,0.5343111072389939,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0.6666666666666666,0.6666666666666666,0.2472963865673608,0.2500713547946017,0.5333210486660163,0.5344893754574049,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5771548582301242,0.5776552584239935,0.422571725188089,0.4227020975066436,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0.6666666666666666,0.6666666666666666,0.3057915998337774,0.30696153192063813,0.5100905337307868,0.5105459912221298,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0.6666666666666666,0.6666666666666666,0.2058420664861734,0.20683272246752193,0.5524312205784895,0.5528639986904212,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,0.6666666666666666,0.6666666666666666,0.19784476580105542,0.1971495643335374,0.556896836118591,0.5565551444563313,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19982307720885856,0.19789049626289654,0.5565477008961086,0.5556374763332019,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.6666666666666666,0.6666666666666666,0.2254239080891393,0.24144133661988523,0.5375410837300165,0.5440294270953396,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.6666666666666666,0.6666666666666666,0.24805811839765005,0.24860131841398908,0.5339679618288012,0.5341631586216378,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.6666666666666666,0.6666666666666666,0.24736339756387182,0.2508166354975016,0.5330017947654886,0.5344606615591585,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5767307613970544,0.5784667683628139,0.4223549566072505,0.42281579264424957,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.6666666666666666,0.6666666666666666,0.30909778743110833,0.3088272474765418,0.5093647265960582,0.5092565834786809,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.6666666666666666,0.6666666666666666,0.20419619603847292,0.20703101187485734,0.5523345777486418,0.5536196417658898,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,5,8,0.03,0.6666666666666666,0.6666666666666666,0.1988584424993209,0.19609115009202532,0.557385792893972,0.5560845576370408,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19672467123739115,0.19665446659562408,0.557126922598133,0.5570760615951418,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.6666666666666666,0.6666666666666666,0.2246303315704511,0.2390242758776259,0.5385590848728776,0.5443819653002889,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.6666666666666666,0.6666666666666666,0.24865646678766803,0.24687733448094193,0.5347270502685558,0.533907190968028,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.6666666666666666,0.6666666666666666,0.24777572751399027,0.24884663775180577,0.5338655035880295,0.534284047979441,5
PDE,fisher_kpp,Fisher--KPP,baseline,Baseline,1,0,8,0.03,0.8,0.8,0.03674184105445333,0.04090011858656136,0.7685918786607258,0.7716482236178807,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.8,0.8,0.10752256013183904,0.1051964782241737,0.7238705732904462,0.7223329156426108,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.8,0.8,0.03706201586700861,0.04104248656680068,0.7684859351889697,0.7714099906852543,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.8,0.8,0.03716494324249668,0.0411161966158866,0.7684313870852568,0.7713334366074444,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,0.8,0.8,0.037132037864257006,0.04105507755048155,0.7684766080798163,0.7713579089191211,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.8,0.8,0.03710726524496189,0.04101919189417236,0.7685030660334025,0.7713763337787843,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.8,0.8,0.036992071255646304,0.040989891186955604,0.7685247597453578,0.7714620219143205,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.8,0.8,0.03689491818940368,0.040983348628642446,0.7685294475558321,0.7715343049389588,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.8,0.8,0.036901297983308115,0.0410363882082667,0.7684909222937669,0.7715295578816783,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.8,0.8,0.11279413713952803,0.11042440008450169,0.7204676997180969,0.7189110485937902,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.8,0.8,0.037345992745052084,0.03994813135737525,0.7692965852154601,0.7711988146626172,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.8,0.8,0.03219556338304907,0.03757706061383885,0.7710807685929175,0.7750469275201864,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,0.8,0.8,0.0391148297669571,0.03998150639460767,0.7692949528581983,0.7698860386579379,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.8,0.8,0.044798698331017454,0.04050265607634086,0.7688855828649017,0.7656977380216269,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0.8,0.8,0.030008344243924612,0.03617985595184041,0.7721519654418582,0.7766927369770372,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0.8,0.8,0.03223165446343488,0.03536280883158226,0.7727307302593659,0.7750198286796859,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0.8,0.8,0.04094653101698609,0.04231545089790571,0.767532719819348,0.7685313089217123,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0.8,0.8,0.1130001729191316,0.11133773587179138,0.7198779418236189,0.7187779655970695,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0.8,0.8,0.03752539994621121,0.03962204233067607,0.7695410699262719,0.7710654602205157,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0.8,0.8,0.03417584376782644,0.03806116222480714,0.7707159840275051,0.7735628373269188,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,0.8,0.8,0.03905250253449338,0.03958146611474981,0.7695888842705386,0.7699322200260448,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0.8,0.8,0.04479359673034928,0.04039057380980485,0.7689693377832058,0.7657014768309994,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.8,0.8,0.0298928801425752,0.03663477898357186,0.7717967491922926,0.7767798141193581,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.8,0.8,0.031953107257918084,0.03624069561732113,0.7720687913753497,0.7752290238514244,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.8,0.8,0.040372922877899835,0.0414661223632027,0.7681621903074906,0.7689550375715513,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.8,0.8,0.11102037803278814,0.11086180022453643,0.7201843328573522,0.7200587998363345,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.8,0.8,0.03915875604452989,0.04003067093092974,0.7692396486292633,0.7698534948068306,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.8,0.8,0.03583290310395778,0.03916230753451501,0.7699126813615227,0.7723253408949792,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,5,8,0.03,0.8,0.8,0.04084487852258816,0.040997135578452304,0.7685749343312811,0.7686063663353451,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.8,0.8,0.042444271070223305,0.03974454557229906,0.7694701923849334,0.7674271154837674,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.8,0.8,0.02912372326793046,0.03600430781325562,0.772299596842624,0.7773603716564228,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.8,0.8,0.034424583380677734,0.03684483455843314,0.7716434662875924,0.7733768250030004,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.8,0.8,0.04594597553681295,0.041514057620419424,0.7681449499791988,0.7648578594983497,5
