support_f1,coef_error,practical_score,threshold,status,setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,seed
0.6666666666666666,0.2074322732508936,0.5521358683512175,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,2
0.6666666666666666,0.18747474368509723,0.5614154492227734,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,3
0.6666666666666666,0.19618847709599888,0.5573257721769243,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,4
0.6666666666666666,0.19402796940186157,0.558334213059203,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,0
0.6666666666666666,0.19527082940792925,0.5577536490176843,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,1
0.6666666666666666,0.2015921701845369,0.5548194164450007,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,2
0.6666666666666666,0.1854677729051609,0.5623659131896123,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,3
0.6666666666666666,0.1868528813064539,0.5617096079615351,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,4
0.6666666666666666,0.19809884703222405,0.5564371156170022,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0
0.6666666666666666,0.19732062127875327,0.5567987845683793,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,1
0.6666666666666666,0.19866150140124506,0.5561759227999964,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,2
0.6666666666666666,0.19962415792837773,0.5557296110291147,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,3
0.6666666666666666,0.18727432693953466,0.5615102184388583,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,4
0.6666666666666666,0.22560419838482412,0.5439493986274203,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0
0.6666666666666666,0.2229276664840064,0.5451399006969685,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,1
0.6666666666666666,0.21789235362976872,0.547393753380382,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,2
0.6666666666666666,0.21722220548262844,0.5476951239172747,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,3
0.6666666666666666,0.20581380301176097,0.5528769574552335,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,4
0.6666666666666666,0.25204043637456475,0.5324641659314782,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0
0.6666666666666666,0.24220892508283054,0.5366783744708752,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,1
0.6666666666666666,0.2339762987732004,0.5402588909766387,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,2
0.6666666666666666,0.23165443905095073,0.5412773628131974,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,3
0.6666666666666666,0.22311091709186337,0.545058225996192,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,4
0.6666666666666666,0.2663049329349231,0.5264661372845868,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0
0.6666666666666666,0.2527701433518753,0.5321540189990103,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,1
0.6666666666666666,0.24401662555885079,0.5358985185324026,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,2
0.6666666666666666,0.24231877682174946,0.5366309188147459,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,3
0.6666666666666666,0.2350742741085846,0.539778603313419,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,4
0.6666666666666666,0.5745888388895952,0.4233909514669251,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0
0.6666666666666666,0.5740294097890153,0.42354142973480235,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,1
0.6666666666666666,0.5830500248144191,0.42112798472355284,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,2
0.6666666666666666,0.5718817630136181,0.42412011027377183,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,3
0.6666666666666666,0.5690493147384627,0.4248857320190667,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,4
0.6666666666666666,0.307125076773008,0.5100251525374402,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0
0.6666666666666666,0.30196621452388595,0.5120460571324879,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,1
0.6666666666666666,0.30549057911856076,0.510663713189555,0.05,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,2
0.6666666666666666,0.30242804247442473,0.5118644907246441,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,3
0.6666666666666666,0.30107190819644086,0.5123980177166432,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,4
0.6666666666666666,0.20785409971733732,0.5519430424772995,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0
0.6666666666666666,0.20279388602888224,0.5542650943028307,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,1
0.6666666666666666,0.21578864443018772,0.5483409223476652,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,2
0.6666666666666666,0.19384319607307737,0.5584206274823539,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,3
0.6666666666666666,0.2057693305364742,0.5528973492550614,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,4
0.6666666666666666,0.19602527122764554,0.5574018231089505,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,0
0.6666666666666666,0.19885117319949838,0.5560879294862465,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,1
0.6666666666666666,0.20616271762454746,0.5527170231058208,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,2
0.6666666666666666,0.1879517484560057,0.561190021003076,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,3
0.6666666666666666,0.18881554447760657,0.5607822590842851,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,4
0.6666666666666666,0.19873306971516555,0.5561427172648831,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0
0.6666666666666666,0.19516450253438164,0.5578032691340651,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,1
0.6666666666666666,0.1990371064426625,0.5560016975992947,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,2
0.6666666666666666,0.20320309647764,0.5540765882487536,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,3
0.6666666666666666,0.18655435489802114,0.5618509290490645,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,4
0.6666666666666666,0.2211535403575511,0.5459318952401907,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0
0.6666666666666666,0.23467375457162318,0.5399537037198708,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,1
0.6666666666666666,0.22365899096693648,0.5448140957472687,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,2
0.6666666666666666,0.31755197629051757,0.5059888935415083,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,3
0.6666666666666666,0.2061724271369765,0.5527125738142562,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,4
0.6666666666666666,0.26274093775587554,0.5279520499679504,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0
0.6666666666666666,0.25668781023161585,0.5304950531379751,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,1
0.6666666666666666,0.23618690903172523,0.5392927734438235,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,2
0.6666666666666666,0.2477125360758614,0.5343111072389939,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,3
0.6666666666666666,0.23870563943140685,0.5381961988747233,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,4
0.6666666666666666,0.264401669864402,0.527258609788266,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0
0.6666666666666666,0.24864820998388623,0.5339107214795671,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,1
0.6666666666666666,0.2459272653087869,0.5350767137289045,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,2
0.6666666666666666,0.24408324224857253,0.5358698228759391,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,3
0.6666666666666666,0.2472963865673608,0.5344893754574049,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,4
0.6666666666666666,0.5776854033196782,0.422559950966082,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0
0.6666666666666666,0.5771548582301242,0.4227020975066436,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,1
0.6666666666666666,0.5861645154831192,0.42030108488690476,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,2
0.6666666666666666,0.5750978398116036,0.42325413051573113,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,3
0.6666666666666666,0.572173675275442,0.4240413620650834,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,4
0.6666666666666666,0.3103938424355126,0.508752899378398,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0
0.6666666666666666,0.30538982472156273,0.5107031279402422,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,1
0.6666666666666666,0.3088831726591708,0.509340085190525,0.05,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,2
0.6666666666666666,0.3057915998337774,0.5105459912221298,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,3
0.6666666666666666,0.30434921995316716,0.5111105649226388,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,4
0.6666666666666666,0.20967079440862785,0.5511141293549872,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0
0.6666666666666666,0.20444764455262177,0.5535040644413335,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,1
0.6666666666666666,0.2185650049263181,0.5470915904949833,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,2
0.6666666666666666,0.19563810196386852,0.5575823199107224,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,3
0.6666666666666666,0.2058420664861734,0.5528639986904212,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,4
0.6666666666666666,0.19784476580105542,0.5565551444563313,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,0
0.6666666666666666,0.19994108022598048,0.5555828345681071,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,1
0.6666666666666666,0.20826239622193515,0.5517565296670977,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,2
0.6666666666666666,0.1896145218186999,0.5604056225267466,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,3
0.6666666666666666,0.19008505760001598,0.5601840493746719,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,4
0.6666666666666666,0.19982307720885856,0.5556374763332019,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0
0.6666666666666666,0.19644798927878648,0.557204886999334,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,1
0.6666666666666666,0.2009800677626946,0.5551021907537564,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,2
0.6666666666666666,0.20491807212562643,0.5532879637953998,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,3
0.6666666666666666,0.18728327493851665,0.561505986598851,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,4
0.6666666666666666,0.22105746651471753,0.5459748496273015,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0
0.6666666666666666,0.23541305429908319,0.5396305829428869,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,1
0.6666666666666666,0.2254239080891393,0.5440294270953396,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,2
0.6666666666666666,0.31884823159243786,0.5054915726441872,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,3
0.6666666666666666,0.2064640226040482,0.5525789863403671,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,4
0.6666666666666666,0.26336259190334754,0.5276922642313517,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0
0.6666666666666666,0.2569775571502647,0.5303727682919723,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,1
0.6666666666666666,0.23739361983932003,0.5387668531483423,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,2
0.6666666666666666,0.24805811839765005,0.5341631586216378,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,3
0.6666666666666666,0.23721470477936293,0.5388447648507021,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,4
0.6666666666666666,0.26463055867821766,0.5271631798645303,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0
0.6666666666666666,0.24948449216028548,0.5335533740911335,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,1
