system,method,noise,mean,sd,n,median,maximum,axis,axis_value,sparse_factor
burgers,pod_edmd_rbf,0.05,0.3347907335252395,0.12782798608874413,32,0.30325966312340713,0.7926765041850999,noise,0.05,
burgers,pod_edmd_rbf,0.1,0.6575854464779773,0.17154699042051183,32,0.6549415308504808,0.9866708852746268,noise,0.1,
burgers,pydmd_optdmd,0.0,0.004996280784782621,0.0003168123998067443,32,0.0049980622239724996,0.0055869791836272,noise,0.0,
burgers,pydmd_optdmd,0.01,0.04823043612069212,0.04468302371903333,32,0.03252515501358305,0.1588272504810768,noise,0.01,
burgers,pydmd_optdmd,0.03,0.19341855393749352,0.027067921208517916,32,0.18909158734620668,0.2759795468212552,noise,0.03,
burgers,pydmd_optdmd,0.05,23.471817250988124,131.33603599860552,32,0.2382104109534537,743.2033780429803,noise,0.05,
burgers,pydmd_optdmd,0.1,0.4351442458126432,0.14592792100594776,31,0.3732802321957188,0.8149560034154525,noise,0.1,
fisher_kpp,baseline,0.0,0.001762328800455842,0.002773835210467033,32,0.0002405278831786,0.0064876200852326,noise,0.0,
fisher_kpp,baseline,0.01,0.040819967201309454,0.0021306270032221794,32,0.041447515406254354,0.0457498325765891,noise,0.01,
fisher_kpp,baseline,0.03,0.040069973070572876,0.003857832073179852,32,0.0407858973886782,0.0463689702749912,noise,0.03,
fisher_kpp,baseline,0.05,0.04044998538073217,0.00766640060253611,32,0.0406054351143396,0.0557312467751767,noise,0.05,
fisher_kpp,baseline,0.1,0.07534923838193527,0.15142137004601353,32,0.03192660999931105,0.6511724869320819,noise,0.1,
fisher_kpp,pod_edmd_rbf,0.0,0.0004552054907369875,5.275112845339297e-05,32,0.00045362518369455,0.0005489933227515,noise,0.0,
fisher_kpp,pod_edmd_rbf,0.01,0.03942915048201501,0.0077003681383392844,32,0.0408591304334076,0.0536372081461769,noise,0.01,
fisher_kpp,pod_edmd_rbf,0.03,0.04201523757750662,0.014811996260417128,32,0.0412621729399542,0.0995294095046453,noise,0.03,
fisher_kpp,pod_edmd_rbf,0.05,0.04806408454137432,0.018635545167921996,32,0.04258328210284055,0.0985751718477382,noise,0.05,
fisher_kpp,pod_edmd_rbf,0.1,0.4669566419818614,0.8067332493332713,32,0.05220106826342495,2.9320905636834667,noise,0.1,
fisher_kpp,pydmd_optdmd,0.0,4.197999568785263e-05,1.9457672936211068e-05,32,3.890866818912022e-05,6.547261533912876e-05,noise,0.0,
fisher_kpp,pydmd_optdmd,0.01,0.03420709775358855,0.00965126947128019,32,0.040135137113455205,0.0449471955259467,noise,0.01,
fisher_kpp,pydmd_optdmd,0.03,0.04212312892654874,0.004504197919925954,31,0.0432150113661462,0.0500190933267909,noise,0.03,
fisher_kpp,pydmd_optdmd,0.05,0.04214303907627309,0.00855691397926948,32,0.04346096368427525,0.0616806617797996,noise,0.05,
fisher_kpp,pydmd_optdmd,0.1,0.03987119269598912,0.015250777923990887,32,0.037534173247765854,0.0757108644446869,noise,0.1,
