system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,3,5,0.9333333333333333,0.020662007130107976,0.9144391843855098,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,3,5,1.0,0.004523076680571024,0.9954972894246318,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,4,1,0.8,0.13506646096557026,0.704804544501704,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,4,5,0.9333333333333333,0.020067681025664134,0.9149719677373558,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,4,5,0.875,0.019297385247118597,0.8584344595251413,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.03,5,1,0.875,0.10901712856775268,0.788986912339239,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,5,5,0.9333333333333333,0.0207292548160476,0.9143789393021126,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,5,5,1.0,0.008446015937951119,0.991624721795251,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,6,1,0.9333333333333333,0.10465914488464918,0.8449061754979578,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,6,5,0.875,0.014464639853268867,0.8625239023871341,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,6,5,0.875,0.014219827162877957,0.862732098669059,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.03,7,1,0.9333333333333333,0.10137199759269028,0.847427876660524,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,7,5,0.9333333333333333,0.019854056339994045,0.9151636231980462,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,7,5,0.875,0.01927134466560894,0.8584563910084808,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.03,8,1,0.9333333333333333,0.0972990309132144,0.8505733688259776,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,8,5,0.9333333333333333,0.01865221632319374,0.916243363905085,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,8,5,0.9333333333333333,0.019503785976968818,0.9154780454679133,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,9,1,0.9333333333333333,0.11711702917398334,0.8354839367397854,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,9,5,1.0,0.009986098880704815,0.9901126373008781,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,9,5,1.0,0.011139870123522331,0.9889828593919835,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.05,0,1,1.0,0.10463396255833476,0.9052772537284638,0.3,ok
