system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,3,5,,,0,1.0,0.0262593484078476,0.9744125610659852,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,3,5,0.0003,0.0020744890633253,4,1.0,0.00904090538914,0.9910401002170934,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,4,1,,,0,0.8,0.1350664609655702,0.704804544501704,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,4,5,,,0,1.0,0.029731969905082,0.9711264962397714,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,4,5,0.0003,0.0018868853896199,4,1.0,0.0140721065487198,0.9861231696860172,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,5,1,,,0,0.875,0.1090171285677526,0.788986912339239,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,5,5,,,0,1.0,0.0284836619161216,0.9723051877527592,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,5,5,0.0003,0.0019455412650399,4,1.0,0.0117287816277966,0.9884071879333848,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,6,1,,,0,0.9333333333333332,0.1046591448846491,0.8449061754979578,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,6,5,,,0,0.7058823529411765,0.4949426615810889,0.4721802187346888,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,6,5,0.0003,0.0019542586493645,4,0.7,0.0762896658577293,0.6503825338155111,0.03,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,7,1,,,0,0.9333333333333332,0.1013719975926902,0.847427876660524,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,7,5,,,0,0.9333333333333332,0.0237116145366513,0.9117150964002448,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,7,5,0.0003,0.0021267334688483,4,0.9333333333333332,0.0198211523614807,0.9151931504579234,0.3,ok,,,
