system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.05,1.0,0.0,0.01122548704737825,0.01120963910487036,0.988940711303937,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,1.0,0.0,0.028286389497569647,0.02989635101192737,0.9711579454320134,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,1.0,0.0,0.0009545874844077,0.0009545874844076998,0.9990463228838316,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.01,1.0,0.0,0.0030939054732384,0.00315696958319637,0.9968542617388007,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.03,1.0,0.0,0.010615233171355098,0.01160052988100717,0.9885591940107872,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.05,1.0,0.0,0.02576345183125385,0.02214902257064415,0.9784115366233206,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,1.0,0.0,0.03496094833743365,0.03361677385548112,0.9676124994257636,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,1.0,0.0,0.0039036201190318,0.0039036201190318005,0.9961115588779638,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.01,1.0,0.0,0.0053438129872933,0.00500144776166205,0.9950249693980565,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.03,1.0,0.0,0.01670244252903495,0.01687546846322468,0.9834310930483576,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.05,1.0,0.0,0.0298162864731649,0.03348933686832866,0.9677872489923057,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0.9857142857142858,0.04517539514526258,0.05505296985462125,0.07690576181942452,0.9222654863296297,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.0,1.0,0.0,0.029670165286031,0.029670165286030996,0.9711847868508563,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.01,1.0,0.0,0.03109157933873965,0.029662751602713172,0.9712407034262436,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.03,1.0,0.0,0.0276253351431514,0.02853989135030378,0.9726351171851905,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.05,1.0,0.0,0.0331282873833605,0.036483315662239765,0.9650580901831003,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.1,1.0,0.0,0.0824220914757528,0.08960494217560559,0.918545787209848,10
