system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,6,5,,,0,,,0,1.0,0.008980520310187234,0.9910994116046697,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,7,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,7,5,,,0,,,0,1.0,0.010703935505748637,0.9894094253225675,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,8,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,8,5,,,0,,,0,0.9333333333333333,0.019236686766506503,0.915717953887925,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,9,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,9,5,,,0,,,0,0.9333333333333333,0.013278268391396692,0.9211026846702457,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,0,5,,,0,,,0,1.0,0.005857690654780438,0.9941764220632768,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,0,5,,,0,,,0,0.9333333333333333,0.015784021390670148,0.9188304931746645,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,1,5,,,0,,,0,0.9333333333333333,0.022533344342868068,0.9127656701827565,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,1,5,,,0,,,0,0.9333333333333333,0.021029411865728792,0.9141101348176168,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,2,5,,,0,,,0,0.8571428571428571,0.09151379543893079,0.7852789957621874,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,2,5,,,0,,,0,0.8571428571428571,0.09004255175427521,0.7863388963700567,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,3,5,,,0,,,0,0.75,1.6158743249432335,0.2867110215687734,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,3,5,,,0,,,0,0.9333333333333333,0.02299810922135283,0.9123509857156361,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,4,5,,,0,,,0,0.9333333333333333,0.04424582527697613,0.8937869903245969,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,4,5,,,0,,,0,1.0,0.009408751504446863,0.9906789479579766,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,5,5,,,0,,,0,1.0,0.005823063143818271,0.9942106486148591,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,5,5,,,0,,,0,1.0,0.009451591627119567,0.9906369045276507,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,6,5,,,0,,,0,0.875,0.0144413222952711,0.8625437280297577,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,6,5,,,0,,,0,1.0,0.0061062302665181095,0.9939308294861662,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,7,5,,,0,,,0,1.0,0.005458924463555954,0.9945707136007884,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,7,5,,,0,,,0,1.0,0.0023797016886761926,0.9976259478472408,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,8,5,,,0,,,0,1.0,0.0037720451628056825,0.9962421296937057,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,8,5,,,0,,,0,0.9333333333333333,0.023433504376229212,0.9119628479450544,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,9,5,,,0,,,0,0.9333333333333333,0.015187402396302138,0.9193704838439128,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,9,5,,,0,,,0,0.9333333333333333,0.014173626623194168,0.9202894936648789,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,0,5,,,0,,,0,0.875,0.02924050715588835,0.8501414333350493,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,0,5,,,0,,,0,0.875,0.029444988142410436,0.8499725678191898,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,1,5,,,0,,,0,0.9333333333333333,0.06593860246357722,0.8755976480973959,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,1,5,,,0,,,0,0.5714285714285714,1.566678753176416,0.22263345996120276,0.3,ok
