system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,y,dx/dt,2.3215370945553944,10.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,y,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,z,dy/dt,-0.45593952221755296,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,z,dz/dt,-2.6752818163885035,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,x*x,dz/dt,0.4064986932439342,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,x*z,dx/dt,-0.44380203614309627,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,1,dx/dt,-3.7231391935106193,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,1,dy/dt,1.9944744694277678,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x,dx/dt,-2.7326865679332095,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x,dy/dt,-3.8903830305002787,28.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dx/dt,4.066371761475289,10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dy/dt,2.254474473031279,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,1,dx/dt,5.534117104046165,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,1,dy/dt,3.5935597908641483,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,1,dz/dt,-29.085751234028912,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,x,dx/dt,-2.2208225702150095,-10.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,x,dy/dt,-3.814361119308043,28.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,y,dx/dt,3.2291287002158335,10.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,y,dy/dt,2.790362842591876,-1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,y,dz/dt,-1.1297444356964907,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,z,dx/dt,-0.300981357525918,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,z,dz/dt,-0.39819255930630854,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,x*y,dz/dt,1.0244926916734862,1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dx/dt,-6.356106186578003,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dy/dt,-1.684957943834258,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dz/dt,-2.0426854501195137,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x,dx/dt,-2.244347613595757,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x,dy/dt,-1.611085517460735,28.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dx/dt,6.685014963339294,10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dy/dt,1.7969266824000536,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,1,dx/dt,-4.299358966208612,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,1,dy/dt,2.37122430995851,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,1,dz/dt,-2.3532632716620534,0.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,x,dx/dt,0.0,-10.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,x,dy/dt,-2.125500386606067,28.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,y,dx/dt,1.447986817622479,10.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,y,dy/dt,1.5123276540869486,-1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_rbf,EDMD-RBF,64,0.1,0,x*z,dy/dt,0.0,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,-0.9999373670339816,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,0.9999472330051862,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,1.9994706017395516,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,x*x*y,dy/dt,-1.9994678681510034,-2.0
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.0,0,x,dy/dt,-0.9999185218068039,-1.0
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.0,0,y,dx/dt,0.9999482571039242,1.0
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.0,0,y,dy/dt,1.9994212825154554,2.0
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.0,0,x*x*y,dy/dt,-1.9993464564731454,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-1.0081292920231664,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,0.9836223941545279,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,1.9042584931130304,2.0
