system,method,sparse_factor,noise,seed,fold,lam,cv_mse,primal_objective,dual_objective,primal_dual_gap,relative_primal_dual_gap,max_relative_gap,kkt_stationarity_max,masked_dual_stationarity_max,dual_box_violation,dual_scale_min,converged,iterations,rho,tolerance,elapsed_seconds,n_observed,n_times,n_channels,objective
burgers,banded ADMM with dual certificate,8,0.1,0,0,1.0,0.013101109211693274,"[0.12046074021353853, 0.2477333082717829, 0.25080384953486007, 0.2327577677218331, 0.2746278246097627, 0.27459547676088303, 0.19732794167158507, 0.16636829697776714]","[0.12046069684673023, 0.24773305652298128, 0.25080378342735987, 0.23275776772176307, 0.2746278246095993, 0.274595476760854, 0.1973279416715672, 0.16634266225933464]","[4.336680829719608e-08, 2.5174880161071833e-07, 6.610750019619971e-08, 7.002731727823175e-14, 1.6342482922482304e-13, 2.9032332093947844e-14, 1.787459069646502e-14, 2.5634718432504533e-05]","[4.336680829719608e-08, 2.5174880161071833e-07, 6.610750019619971e-08, 7.002731727823175e-14, 1.6342482922482304e-13, 2.9032332093947844e-14, 1.787459069646502e-14, 2.5634718432504533e-05]",2.5634718432504533e-05,1.384572579921084e-07,5.9396931817445875e-15,0.0,0.9999995480361306,True,925,81.6,0.0001,0.03750997999986794,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,0,10.0,0.024809515449904593,"[0.150663569758954, 0.38175965338249485, 0.6738764378537248, 0.5715378609005282, 0.8153320085985414, 0.7712187476574741, 0.3397926861872113, 0.1663891173923591]","[0.15057163761861977, 0.3817596532437978, 0.6738764378496606, 0.5715378608992212, 0.8153320085984488, 0.7712187476400656, 0.3397926861870944, 0.16636191125672434]","[9.193214033423325e-05, 1.3869705384195186e-10, 4.0641934262453105e-12, 1.3069545445887343e-12, 9.259260025373806e-14, 1.740851907072738e-11, 1.1690648449302898e-13, 2.720613563475527e-05]","[9.193214033423325e-05, 1.3869705384195186e-10, 4.0641934262453105e-12, 1.3069545445887343e-12, 9.259260025373806e-14, 1.740851907072738e-11, 1.1690648449302898e-13, 2.720613563475527e-05]",9.193214033423325e-05,7.547168445753982e-11,6.8833827526759706e-15,0.0,0.9999999997530707,True,550,408.0,0.0001,0.022708973999897353,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,affine exact solution,8,0.1,0,0,100.0,0.03555476340185444,"[0.1505716676934742, 0.38354600654318133, 0.8482090593532683, 0.6109013357160306, 0.8416544988971643, 1.0066522924263042, 0.3461651277871619, 0.16636191237171813]","[0.15057166769344815, 0.3835460065429659, 0.8482090593532278, 0.6109013357157286, 0.8416544988967627, 1.0066522924262322, 0.3461651277869131, 0.16636191237171175]","[2.603472992745992e-14, 2.1543877792851163e-13, 4.0523140398818214e-14, 3.019806626980426e-13, 4.015676680069191e-13, 7.194245199571014e-14, 2.488009798184976e-13, 6.38378239159465e-15]","[2.603472992745992e-14, 2.1543877792851163e-13, 4.0523140398818214e-14, 3.019806626980426e-13, 4.015676680069191e-13, 7.146703239736273e-14, 2.488009798184976e-13, 6.38378239159465e-15]",4.015676680069191e-13,2.338407245616736e-14,2.338407245616736e-14,0.0,1.0,True,0,0.0,0.0001,0.0002367670001603983,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,0.0001,0.019673615728606625,"[0.00048669974417898574, 0.000372782942493421, 0.0006132305100127552, 0.0006050253882725779, 0.00046564276047507587, 0.000568111062726312, 0.0006176400050723651, 0.0005142690907457215]","[0.00047371943539807984, 0.00036020607435616387, 0.000566616922562669, 0.0005619868520046535, 0.00045357377237148304, 0.0005431392952575067, 0.0005975768915954096, 0.0004508857111394664]","[1.2980308780905902e-05, 1.2576868137257106e-05, 4.6613587450086225e-05, 4.30385362679244e-05, 1.2068988103592824e-05, 2.4971767468805347e-05, 2.006311347695544e-05, 6.33833796062551e-05]","[1.2980308780905902e-05, 1.2576868137257106e-05, 4.6613587450086225e-05, 4.30385362679244e-05, 1.2068988103592824e-05, 2.4971767468805347e-05, 2.006311347695544e-05, 6.33833796062551e-05]",6.33833796062551e-05,3.5705236220391905e-05,2.710505431213761e-20,0.0,0.8822139365899494,True,25,0.01,0.0001,0.0013309879998359975,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,0.001,0.01861311491606959,"[0.004785820838096955, 0.0036647728149805385, 0.0060495904817873675, 0.005942373902036417, 0.004593749412212873, 0.005614981868809138, 0.006090088950171801, 0.005075254215270233]","[0.004757854046927903, 0.0036475197425987565, 0.006013903951613971, 0.005909493855926444, 0.004560999515361099, 0.005575537957669275, 0.006057886833828148, 0.005051505091237779]","[2.7966791169052076e-05, 1.725307238178205e-05, 3.5686530173396555e-05, 3.28800461099725e-05, 3.274989685177372e-05, 3.944391113986333e-05, 3.2202116343652866e-05, 2.374912403245357e-05]","[2.7966791169052076e-05, 1.725307238178205e-05, 3.5686530173396555e-05, 3.28800461099725e-05, 3.274989685177372e-05, 3.944391113986333e-05, 3.2202116343652866e-05, 2.374912403245357e-05]",3.944391113986333e-05,1.5983822330267912e-05,4.336808689942018e-19,0.0,0.9946802138255122,True,25,0.01,0.0001,0.0012572670000281505,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,0.01,0.016495367252201742,"[0.039360163821162676, 0.030802166461667974, 0.052290780972092485, 0.04884462157409894, 0.03920600233998786, 0.048547488029117486, 0.05175386087426111, 0.04422091135151333]","[0.0393581674905441, 0.03080189116823073, 0.052278672520003525, 0.04883252873204, 0.039204716929736746, 0.04854262729865361, 0.05175305072945505, 0.044220030231478066]","[1.9963306185782903e-06, 2.7529343724422284e-07, 1.2108452088960275e-05, 1.2092842058941677e-05, 1.285410251114505e-06, 4.860730463879248e-06, 8.101448060598981e-07, 8.811200352606963e-07]","[1.9963306185782903e-06, 2.7529343724422284e-07, 1.2108452088960275e-05, 1.2092842058941677e-05, 1.285410251114505e-06, 4.860730463879248e-06, 8.101448060598981e-07, 8.811200352606963e-07]",1.2108452088960275e-05,5.680712201788091e-06,3.469446951953614e-18,0.0,0.9998106471491635,True,50,0.10200000000000001,0.0001,0.0024655390000134503,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,0.1,0.01326036544579413,"[0.12598934022243757, 0.09095349695797039, 0.1770955082611563, 0.14375226269887753, 0.13127319401304274, 0.15911891267854505, 0.1398939810982237, 0.16244914510456931]","[0.12598925074907696, 0.09094958431060082, 0.17708418735805606, 0.14373325555085198, 0.13125151103462218, 0.15908485525854202, 0.1398919175687609, 0.1624360124639663]","[8.947336060938227e-08, 3.912647369569422e-06, 1.1320903100242585e-05, 1.900714802555159e-05, 2.1682978420561883e-05, 3.4057420003036354e-05, 2.063529462803526e-06, 1.3132640603014112e-05]","[8.947336060938227e-08, 3.912647369569422e-06, 1.1320903100242585e-05, 1.900714802555159e-05, 2.1682978420561883e-05, 3.4057420003036354e-05, 2.063529462803526e-06, 1.3132640603014112e-05]",3.4057420003036354e-05,7.415579600184019e-06,2.7755575615628914e-17,0.0,0.9999619183456949,True,100,0.51,0.0001,0.0045278800000687625,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,1.0,0.012101249977999731,"[0.1511779091050752, 0.150816474107681, 0.2796699106383352, 0.2735932013694783, 0.30184428694255894, 0.2668485895369167, 0.1932999122457715, 0.2216662583537422]","[0.15108797653421638, 0.1508164740409793, 0.27963014296128325, 0.2735932013694697, 0.30184428694252347, 0.26684618268794963, 0.1932999122457667, 0.2216662583335663]","[8.993257085881945e-05, 6.670169971911832e-11, 3.97676770519384e-05, 8.604228440844963e-15, 3.547162563677375e-14, 2.4068489670736604e-06, 4.801714581503802e-15, 2.0175916493059276e-11]","[8.993257085881945e-05, 6.670169971911832e-11, 3.97676770519384e-05, 8.604228440844963e-15, 3.547162563677375e-14, 2.4068489670736604e-06, 4.801714581503802e-15, 2.0175916493059276e-11]",8.993257085881945e-05,1.9847220034119317e-07,2.220446049250313e-16,0.0,0.9999990020957529,True,725,5.1,0.0001,0.035565987999916615,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,1,10.0,0.020510310674673744,"[0.16248952785754828, 0.30455248853730854, 0.6684669884697669, 0.6485920433179927, 0.9549977747277911, 0.795010253549004, 0.3780604110466102, 0.23001927194584548]","[0.16248234116732066, 0.30455248833002463, 0.668466988418177, 0.648592043307571, 0.9549977747269298, 0.7950102535332259, 0.37806041043268357, 0.23001490827314322]","[7.1866902276174205e-06, 2.072839122568837e-10, 5.1589954530584237e-11, 1.0421663532156344e-11, 8.613110225041964e-13, 1.5778156559065337e-11, 6.139266317539693e-10, 4.3636727022622335e-06]","[7.1866902276174205e-06, 2.072839122568837e-10, 5.1589954530584237e-11, 1.0421663532156344e-11, 8.613110225041964e-13, 1.5778156559065337e-11, 6.139266317539693e-10, 4.3636727022622335e-06]",7.1866902276174205e-06,7.771637222653283e-10,3.552713678800501e-15,0.0,0.9999999976878338,True,450,816.0,0.0001,0.021244935000140686,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,affine exact solution,8,0.1,0,1,100.0,0.030417728562099282,"[0.16248234131365358, 0.3143740882703937, 0.8325936718743456, 0.6992971129698246, 1.0230419488001703, 1.1673683957213685, 0.4008794227471774, 0.23001490830967322]","[0.16248234131362796, 0.3143740882702106, 0.8325936718742941, 0.6992971129695105, 1.0230419487998261, 1.167368395721286, 0.4008794227469484, 0.23001490830965857]","[2.5618396293225487e-14, 1.8307577676068831e-13, 5.1514348342607263e-14, 3.140820936664568e-13, 3.4416913763379853e-13, 8.260059303211165e-14, 2.290390099801698e-13, 1.4654943925052066e-14]","[2.5618396293225487e-14, 1.8307577676068831e-13, 5.1514348342607263e-14, 3.140820936664568e-13, 3.3641742456156577e-13, 7.07579486774345e-14, 2.290390099801698e-13, 1.4654943925052066e-14]",3.3641742456156577e-13,1.8790524691780774e-14,3.552713678800501e-15,0.0,1.0,True,0,0.0,0.0001,0.00026351700012128276,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,0.0001,0.01864426976633069,"[0.000447532769733729, 0.0005411274478206315, 0.0006837122554662847, 0.0005375731704405955, 0.0006297682598188075, 0.0005993673620646836, 0.0004379102496392719, 0.0005509214087079048]","[0.0004292350693076675, 0.0004984892845438547, 0.0006563125181550667, 0.0004740775199878014, 0.0005897748069961325, 0.000567526306407288, 0.0004203463950621587, 0.0005345032823492025]","[1.8297700426061516e-05, 4.2638163276776764e-05, 2.739973731121794e-05, 6.349565045279411e-05, 3.999345282267497e-05, 3.1841055657395585e-05, 1.7563854577113183e-05, 1.6418126358702287e-05]","[1.8297700426061516e-05, 4.2638163276776764e-05, 2.739973731121794e-05, 6.349565045279411e-05, 3.999345282267497e-05, 3.1841055657395585e-05, 1.7563854577113183e-05, 1.6418126358702287e-05]",6.349565045279411e-05,3.456637199806699e-05,2.710505431213761e-20,0.0,0.8867610342040789,True,25,0.01,0.0001,0.0012745819999508967,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,0.001,0.01808915389204164,"[0.0043809766695112485, 0.005351033632815272, 0.006743953986473036, 0.00527774968885172, 0.006205682709439196, 0.005917760861509375, 0.004299820182005663, 0.005431799179499183]","[0.004353000714107266, 0.005312716187529303, 0.006709386008798501, 0.00524303270355464, 0.006176654082890082, 0.005868901322554582, 0.004257446822672803, 0.005387081107224337]","[2.7975955403982886e-05, 3.8317445285969073e-05, 3.456797767453432e-05, 3.4716985297079776e-05, 2.9028626549114193e-05, 4.8859538954793176e-05, 4.2373359332860405e-05, 4.4718072274845845e-05]","[2.7975955403982886e-05, 3.8317445285969073e-05, 3.456797767453432e-05, 3.4716985297079776e-05, 2.9028626549114193e-05, 4.8859538954793176e-05, 4.2373359332860405e-05, 4.4718072274845845e-05]",4.8859538954793176e-05,2.2191794968860236e-05,2.168404344971009e-19,0.0,0.992611163369941,True,25,0.01,0.0001,0.001370376999830114,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,0.01,0.016349213737692186,"[0.03530223515284727, 0.04670671711175704, 0.05791822065147198, 0.04263119235574807, 0.05277680024633524, 0.05090485584626635, 0.03505139301013148, 0.046174839433195114]","[0.035293902244071196, 0.04670476680058476, 0.05791593072214056, 0.042629592129406285, 0.052774789990308144, 0.0509011014237731, 0.035050699375032406, 0.04617330393435174]","[8.33290877607501e-06, 1.950311172282948e-06, 2.2899293314199154e-06, 1.6002263417830287e-06, 2.0102560270990333e-06, 3.7544224932503645e-06, 6.936350990735529e-07, 1.5354988433732841e-06]","[8.33290877607501e-06, 1.950311172282948e-06, 2.2899293314199154e-06, 1.6002263417830287e-06, 2.0102560270990333e-06, 3.7544224932503645e-06, 6.936350990735529e-07, 1.5354988433732841e-06]",8.33290877607501e-06,2.614047762420496e-06,3.469446951953614e-18,0.0,0.9999128658217858,True,50,0.10200000000000001,0.0001,0.0034578160000364733,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,0.1,0.012778303772531838,"[0.09660677025654002, 0.16286614062052493, 0.17648874345240437, 0.13700626127406404, 0.14256365153488826, 0.19180088918898963, 0.09894864147305149, 0.15904486908230067]","[0.09658682748449121, 0.16286446409273764, 0.1764807852098999, 0.13699108963609669, 0.14256365038379248, 0.19179526854729792, 0.09894862991170128, 0.15898614483275547]","[1.9942772048808788e-05, 1.6765277872921036e-06, 7.958242504463309e-06, 1.517163796735388e-05, 1.1510957742544292e-09, 5.620641691711503e-06, 1.1561350210520516e-08, 5.872424954520006e-05]","[1.9942772048808788e-05, 1.6765277872921036e-06, 7.958242504463309e-06, 1.517163796735388e-05, 1.1510957742544292e-09, 5.620641691711503e-06, 1.1561350210520516e-08, 5.872424954520006e-05]",5.872424954520006e-05,1.570965761032994e-05,2.7755575615628914e-17,0.0,0.9999107651448379,True,150,1.02,0.0001,0.009368691999952716,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,1.0,0.011813127829859413,"[0.11331575565289895, 0.2133461174012821, 0.2676065147546939, 0.2885475525716429, 0.3192949887254787, 0.3153019486400249, 0.15077556528567343, 0.2064584252188039]","[0.11331575050583108, 0.21334087329273715, 0.26760651475361924, 0.2885475525716374, 0.31929498872547124, 0.3153019486400216, 0.15077556528566863, 0.20637698960234876]","[5.147067869137878e-09, 5.244108544938397e-06, 1.0746403766859203e-12, 5.495603971894525e-15, 7.438494264988549e-15, 3.3306690738754696e-15, 4.801714581503802e-15, 8.143561645512776e-05]","[5.147067869137878e-09, 5.244108544938397e-06, 1.0746403766859203e-12, 5.495603971894525e-15, 7.438494264988549e-15, 3.3306690738754696e-15, 4.801714581503802e-15, 8.143561645512776e-05]",8.143561645512776e-05,2.970119461487286e-06,3.3306690738754696e-16,0.0,0.9999894216982514,True,1275,10.2,0.0001,0.05430603499985409,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,2,10.0,0.02269386749857967,"[0.11886368736899028, 0.3820672874071449, 0.626339706083084, 0.602184786450368, 0.9541702861429648, 0.8536894227487399, 0.3126202256235422, 0.20645947774666246]","[0.11883216983311785, 0.3820672873859167, 0.626339701870852, 0.6021847864340193, 0.9541702861420264, 0.8536894111156696, 0.3126202254535473, 0.20644767101823452]","[3.151753587242456e-05, 2.1228185875799e-11, 4.212232007638761e-09, 1.6348700171420205e-11, 9.384715227156448e-13, 1.1633070284844393e-08, 1.699949070399498e-10, 1.1806728427932178e-05]","[3.151753587242456e-05, 2.1228185875799e-11, 4.212232007638761e-09, 1.6348700171420205e-11, 9.384715227156448e-13, 1.1633070284844393e-08, 1.699949070399498e-10, 1.1806728427932178e-05]",3.151753587242456e-05,5.6995376196411485e-09,3.552713678800501e-15,0.0,0.9999999835863977,True,500,408.0,0.0001,0.02067315299996153,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,affine exact solution,8,0.1,0,2,100.0,0.03388125863141909,"[0.11883217209046776, 0.3920861567579055, 0.7306729305345405, 0.6250445508448722, 1.04501463796408, 1.1837611346479682, 0.3224156320904135, 0.20644767124086214]","[0.11883217209043956, 0.39208615675771685, 0.7306729305345102, 0.6250445508445822, 1.045014637963756, 1.1837611346478722, 0.3224156320901508, 0.20644767124085225]","[2.8199664825478976e-14, 1.886268918838141e-13, 3.0309088572266774e-14, 2.899902540320909e-13, 3.239630785856207e-13, 9.592326932761353e-14, 2.627342787775433e-13, 9.880984919163893e-15]","[2.8199664825478976e-14, 1.886268918838141e-13, 3.0309088572266774e-14, 2.899902540320909e-13, 3.1000817291590534e-13, 8.103262264657775e-14, 2.627342787775433e-13, 9.880984919163893e-15]",3.1000817291590534e-13,1.892930256985892e-14,3.552713678800501e-15,0.0,1.0,True,0,0.0,0.0001,0.000261012999999366,35,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,0,0.0001,0.012996210132617605,"[0.000493549420531069, 0.0004251174044860528, 0.00048058825398429464, 0.0006345657145330839, 0.0007390085308430742, 0.0011431433540442773, 0.0010465651020882885, 0.0009007927555181405]","[0.000493273123474617, 0.00042489444467017594, 0.0004801681851122492, 0.0006337079211986978, 0.0007380794551157082, 0.0011421981402713382, 0.0010346923362433828, 0.0008989222503439744]","[2.762970564519282e-07, 2.2295981587686867e-07, 4.2006887204543587e-07, 8.577933343860812e-07, 9.290757273659918e-07, 9.452137729390464e-07, 1.1872765844905733e-05, 1.870505174166124e-06]","[2.762970564519282e-07, 2.2295981587686867e-07, 4.2006887204543587e-07, 8.577933343860812e-07, 9.290757273659918e-07, 9.452137729390464e-07, 1.1872765844905733e-05, 1.870505174166124e-06]",1.1872765844905733e-05,3.601200686400381e-06,1.0986938897734888e-14,0.0,0.9880640776277236,True,50,0.02,0.0001,0.0025503370000024006,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,0,0.001,0.012921191080882,"[0.0048495853483110155, 0.0041704123177622445, 0.004721822410547084, 0.006231935400172833, 0.007298838476993694, 0.011341876289245038, 0.010379113501205151, 0.008929888192507833]","[0.00484857722298042, 0.004169465197560986, 0.0047203266766716375, 0.006229573929671229, 0.007295364071437424, 0.011336799619520353, 0.010375322456694825, 0.008925576402507983]","[1.0081253305951193e-06, 9.471202012589428e-07, 1.4957338754463187e-06, 2.3614705016040266e-06, 3.4744055562698287e-06, 5.076669724685123e-06, 3.7910445103254975e-06, 4.3117899998501574e-06]","[1.0081253305951193e-06, 9.471202012589428e-07, 1.4957338754463187e-06, 2.3614705016040266e-06, 3.4744055562698287e-06, 5.076669724685123e-06, 3.7910445103254975e-06, 4.3117899998501574e-06]",5.076669724685123e-06,1.5143034054160114e-06,2.7400174143488165e-14,0.0,0.9994952874035353,True,50,0.02,0.0001,0.0024440770000637713,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,banded ADMM with dual certificate,8,0.1,0,0,0.01,0.012666165551725575,"[0.041034173592056085, 0.03477177348677145, 0.03895241204910607, 0.05213562464245916, 0.06475924875557974, 0.10482322175725654, 0.09540094763513664, 0.0817028847598044]","[0.04103324623605776, 0.034770541636987395, 0.038950256359084785, 0.05213350219014383, 0.06475647688329149, 0.10480987032891295, 0.09539728463218923, 0.08169704075038078]","[9.273559983258295e-07, 1.2318497840529963e-06, 2.155690021286849e-06, 2.122452315331258e-06, 2.7718722882541513e-06, 1.3351428343591487e-05, 3.663002947407179e-06, 5.844009423619512e-06]","[9.273559983258295e-07, 1.2318497840529963e-06, 2.155690021286849e-06, 2.122452315331258e-06, 2.7718722882541513e-06, 1.3351428343591487e-05, 3.663002947407179e-06, 5.844009423619512e-06]",1.3351428343591487e-05,3.978156191148524e-06,5.0877704826923775e-14,0.0,0.9998673973672365,True,50,0.10200000000000001,0.0001,0.002405188000011549,34,51,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
