system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,tv_diff,64,0.1,0,x*y*y,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*y,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,1,0,-1.4674973605146198,0.0
lorenz63,baseline,16,0.1,0,1,1,2.671010172090953,0.0
lorenz63,baseline,16,0.1,0,1,2,23.40125749368509,0.0
lorenz63,baseline,16,0.1,0,x,0,-8.040000831643761,-10.0
lorenz63,baseline,16,0.1,0,x,1,11.445178430463535,28.0
lorenz63,baseline,16,0.1,0,x,2,0.0,0.0
lorenz63,baseline,16,0.1,0,y,0,8.315538829206911,10.0
lorenz63,baseline,16,0.1,0,y,1,4.860910948918537,-1.0
lorenz63,baseline,16,0.1,0,y,2,0.2429718978663244,0.0
lorenz63,baseline,16,0.1,0,z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,z,2,-3.7823869281636813,-2.6666666666666665
lorenz63,baseline,16,0.1,0,x*x,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x,2,0.6222222739970203,0.0
lorenz63,baseline,16,0.1,0,x*y,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y,2,0.0,1.0
lorenz63,baseline,16,0.1,0,x*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*z,1,-0.5223789007386752,-1.0
lorenz63,baseline,16,0.1,0,x*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y,0,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y,1,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y,2,0.2904794608050388,0.0
lorenz63,baseline,16,0.1,0,y*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,y*z,1,-0.1284435640520742,0.0
lorenz63,baseline,16,0.1,0,y*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*x,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*x,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*x,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*y,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*y,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*y,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*x*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*y,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*y,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*y,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*y*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,x*z*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,x*z*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,x*z*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*y,0,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*y,1,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*y,2,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,y*y*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,y*z*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,y*z*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,y*z*z,2,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z*z,0,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z*z,1,0.0,0.0
lorenz63,baseline,16,0.1,0,z*z*z,2,0.0,0.0
