system,sparse_factor,noise,seed,method,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
burgers,8,0.1,3,pod_tv_weak,0,0.0001,0.012935116546590231,"[0.0004886871770333203, 0.0005593921578028579, 0.0004221373284636362, 0.0004914344515277995, 0.0010997406222562412, 0.0006671463279168114, 0.001041133061662397, 0.0009783334800185855]","[0.0004886745250013747, 0.0005593799930687666, 0.0004221225144394761, 0.000491418794810285, 0.0010996881577900472, 0.0006671273684624494, 0.0010360144853251534, 0.0009782982014003609]","[1.2652031945660676e-08, 1.2164734091357418e-08, 1.4814024160093777e-08, 1.5656717514589587e-08, 5.2464466193972645e-08, 1.895945436205474e-08, 5.118576337243691e-06, 3.527861822463785e-08]","[1.2652031945660676e-08, 1.2164734091357418e-08, 1.4814024160093777e-08, 1.5656717514589587e-08, 5.2464466193972645e-08, 1.895945436205474e-08, 5.118576337243691e-06, 3.527861822463785e-08]",5.118576337243691e-06,1.5485152767915917e-06,"[1.2652031419551572e-08, 1.2164733609646393e-08, 1.481402323342618e-08, 1.5656716893667003e-08, 5.24644641060161e-08, 1.8959453860719656e-08, 5.118552888071616e-06, 3.5278616956338146e-08]",2.351520154197928e-05,1.3552527156068805e-20,0.0,0.9948461048729441,True,75,0.02,1e-05,banded ADMM with dual certificate,0.010506781996809877,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,0.001,0.012787121130952563,"[0.004811033694369986, 0.005512883732652562, 0.004150119106511309, 0.0048476071399574374, 0.010928085819624128, 0.006611893934491775, 0.010332075015394841, 0.0096968082573565]","[0.004809921678016051, 0.00551151708001117, 0.004148521172663055, 0.0048460263192067685, 0.010922827892114797, 0.006609546051858295, 0.010328610462326296, 0.009692102479315018]","[1.112016353934861e-06, 1.3666526413923588e-06, 1.5979338482538172e-06, 1.580820750668975e-06, 5.257927509331323e-06, 2.3478826334799585e-06, 3.46455306854572e-06, 4.705778041482617e-06]","[1.112016353934861e-06, 1.3666526413923588e-06, 1.5979338482538172e-06, 1.580820750668975e-06, 5.257927509331323e-06, 2.3478826334799585e-06, 3.46455306854572e-06, 4.705778041482617e-06]",5.257927509331323e-06,1.4933272519009055e-06,"[1.1120105699626015e-06, 1.3666456960747739e-06, 1.5979198184617321e-06, 1.5808107779978486e-06, 5.257913316365076e-06, 2.347873881941402e-06, 3.464544921498447e-06, 4.7057541991447904e-06]",7.57790427132754e-05,4.336808689942018e-19,0.0,0.999502295538876,True,50,0.02,1e-05,banded ADMM with dual certificate,0.0072094979987014085,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,0.01,0.012429270822022357,"[0.04135134457914274, 0.047788208174888804, 0.03487611737907864, 0.04241333336970793, 0.10233009339167387, 0.06017253491023267, 0.09572059515601539, 0.08850049202731754]","[0.041349971823264275, 0.04778815192273685, 0.034876057919377285, 0.042413228570603576, 0.10232971729302114, 0.0601725155928474, 0.0957205392558589, 0.08850040246492644]","[1.372755878463472e-06, 5.6252151950375584e-08, 5.945970135701195e-08, 1.0479910435290396e-07, 3.760986527351351e-07, 1.9317385267780818e-08, 5.590015648981872e-08, 8.956239110069486e-08]","[1.372755878463472e-06, 5.6252151950375584e-08, 5.945970135701195e-08, 1.0479910435290396e-07, 3.760986527351351e-07, 1.9317385267780818e-08, 5.590015648981872e-08, 8.956239110069486e-08]",1.372755878463472e-06,7.381376993763344e-07,"[1.3727516638695203e-06, 5.625213900933845e-08, 5.94596657292612e-08, 1.0479905453164573e-07, 3.7609854247611096e-07, 1.9317384476746913e-08, 5.5900154741217456e-08, 8.956238091439861e-08]",2.284731916546434e-05,3.469446951953614e-18,0.0,0.9999753957536168,True,75,0.098,1e-05,banded ADMM with dual certificate,0.010409247999632498,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,0.1,0.01175922480387093,"[0.13182636008172274, 0.15505481368588925, 0.13584054625487588, 0.17867599636683906, 0.5115950653058325, 0.28985526510812976, 0.5485877522264255, 0.4016870274984153]","[0.1318206939319389, 0.15505474926813695, 0.13583829636675504, 0.17867599519144628, 0.5115950581521341, 0.2898552633945884, 0.5485877522216352, 0.40168702748451257]","[5.6661497838395025e-06, 6.441775229903968e-08, 2.249888120836596e-06, 1.1753927831037458e-09, 7.153698411421772e-09, 1.71354136435653e-09, 4.790279284350163e-12, 1.3902712314717292e-11]","[5.6661497838395025e-06, 6.441775229903968e-08, 2.249888120836596e-06, 1.1753927831037458e-09, 7.153698411421772e-09, 1.71354136435653e-09, 4.790279284350163e-12, 1.3902712314717292e-11]",5.6661497838395025e-06,2.377477613224599e-06,"[5.666136455528825e-06, 6.441775196597277e-08, 2.2498879343607614e-06, 1.1753927553481702e-09, 7.153698744488679e-09, 1.71354136435653e-09, 4.790001728594007e-12, 1.390265680356606e-11]",1.698001949579364e-05,2.0816681711721685e-17,0.0,0.9999882288295777,True,100,0.49000000000000005,1e-05,banded ADMM with dual certificate,0.013457748002110748,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,1.0,0.011567263421838411,"[0.36080401284554975, 0.5320893731771266, 0.593143962339884, 0.5982064466649756, 0.8012800245524361, 0.6689709666347206, 0.7067201451186682, 0.6719586888899747]","[0.360804012845459, 0.5320893731771075, 0.5931439623398773, 0.5982064466649688, 0.8012800245524353, 0.6689709666347184, 0.706710214272247, 0.6719586888899685]","[9.076073226310655e-14, 1.9095836023552692e-14, 6.661338147750939e-15, 6.772360450213455e-15, 7.771561172376096e-16, 2.1094237467877974e-15, 9.930846421202233e-06, 6.217248937900877e-15]","[9.076073226310655e-14, 1.9095836023552692e-14, 6.661338147750939e-15, 6.772360450213455e-15, 7.771561172376096e-16, 2.1094237467877974e-15, 9.930846421202233e-06, 6.217248937900877e-15]",9.930846421202233e-06,4.062774039415018e-08,"[9.239831122442865e-14, 1.9262369477246466e-14, 6.8833827526759706e-15, 6.5503158452884236e-15, 5.065392549852277e-16, 1.915134717478395e-15, 9.930846418322592e-06, 6.203371150093062e-15]",4.895510950508886e-07,2.220446049250313e-16,0.0,0.9999999359898434,True,2025,4.9,1e-05,banded ADMM with dual certificate,0.25808640600007493,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,10.0,0.013967874813887069,"[1.4292741438831578, 3.409434804823731, 3.3898423388262184, 1.4501623345692694, 0.8100466238670732, 0.7549731178958524, 0.707741292611932, 0.6721635401134849]","[1.429274143882488, 3.4094348045325495, 3.3898423126167514, 1.4501567476352286, 0.8100461390546749, 0.7549713486683194, 0.7077396442307157, 0.6721633631307387]","[6.696865284538944e-13, 2.9118130129290876e-10, 2.6209467041127255e-08, 5.586934040735514e-06, 4.848123982270636e-07, 1.769227533032769e-06, 1.6483812163015088e-06, 1.7698274623612065e-07]","[4.685500897920398e-13, 8.540456643457153e-11, 7.731765793627635e-09, 3.852626638792793e-06, 4.848123982270636e-07, 1.769227533032769e-06, 1.6483812163015088e-06, 1.7698274623612065e-07]",3.852626638792793e-06,1.0210235878993501e-08,"[6.735723090400825e-13, 2.9118307764974816e-10, 2.6209467041127255e-08, 5.5869340411069285e-06, 4.848123984754627e-07, 1.7692275332857974e-06, 1.6483812158663844e-06, 1.769827463143968e-07]",3.503363643631019e-07,1.7763568394002505e-15,0.0,0.999999982569802,True,325,392.0,1e-05,banded ADMM with dual certificate,0.042051260999869555,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,100.0,0.027571266692481937,"[1.936412671942174, 19.2991656520628, 4.393963845523068, 1.4501582082111062, 0.8100462289891608, 0.7549716947098538, 0.707739964890738, 0.6721633955911721]","[1.9364062525879944, 19.29916559146025, 4.3939625540730685, 1.4501567477155508, 0.8100461390549609, 0.7549713486726037, 0.7077396442343908, 0.6721633631307755]","[6.419354179554304e-06, 6.060255230977418e-08, 1.2914499993854633e-06, 1.46049555538319e-06, 8.993419986502715e-08, 3.4603725007631425e-07, 3.2065634714140145e-07, 3.246039659288158e-08]","[3.3150754860098345e-06, 3.140164367846475e-09, 2.939145711681945e-07, 1.0071284271699126e-06, 8.993419986502715e-08, 3.4603725007631425e-07, 3.2065634714140145e-07, 3.246039659288158e-08]",3.3150754860098345e-06,1.0086393942287941e-09,"[6.419354181206641e-06, 6.060251767081581e-08, 1.2914500013367047e-06, 1.460495555388991e-06, 8.993419985264789e-08, 3.460372501450487e-07, 3.2065634761177685e-07, 3.246039644637485e-08]",2.9797035949741257e-09,1.4210854715202004e-14,0.0,0.9999999994180453,True,225,245.0,1e-05,banded ADMM with dual certificate,0.03012323000075412,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,0,1000.0,0.03441005332295714,"[1.9364062526008476, 20.302526753584853, 4.39396255407326, 1.4501567477156545, 0.8100461390549637, 0.7549713486726352, 0.7077396442344122, 0.6721633631307776]","[1.9364062525886934, 20.302526753584402, 4.393962554073086, 1.4501567477155775, 0.8100461390549607, 0.754971348672605, 0.7077396442343921, 0.6721633631307756]","[1.2154277584386364e-11, 4.511946372076636e-13, 1.7408297026122455e-13, 7.704947790898586e-14, 2.9976021664879227e-15, 3.019806626980426e-14, 2.0095036745715333e-14, 1.9984014443252818e-15]","[6.2767188280153375e-12, 2.2223570626646033e-14, 3.9618674059897797e-14, 5.3131827321672166e-14, 2.9976021664879227e-15, 3.019806626980426e-14, 2.0095036745715333e-14, 1.9984014443252818e-15]",6.2767188280153375e-12,6.195044477408373e-14,"[1.215254199414354e-11, 4.576691412840672e-13, 1.7225138789331506e-13, 7.673809262743146e-14, 3.04916483708159e-15, 3.024522774252696e-14, 1.9759052288746157e-14, 1.847302241886551e-15]",1.7763568394002505e-15,1.4210854715202004e-14,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.000859941999806324,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,1,0.0,0.01264029195118305,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0010830220016941894,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,1,0.0001,0.013508307606578045,"[0.0004716842822339296, 0.0004687654907615138, 0.0003981134828300263, 0.0006215135773487546, 0.0009468791213726001, 0.0011037826624370228, 0.000831952166548827, 0.0011319591179131474]","[0.0004716590621426382, 0.00046875316861140595, 0.0003980907782838287, 0.0006214748417844947, 0.0009468189013264497, 0.0011036757772812642, 0.0008231048953050627, 0.0011319169861586846]","[2.5220091291397462e-08, 1.2322150107831487e-08, 2.2704546197608536e-08, 3.873556425994847e-08, 6.022004615043215e-08, 1.0688515575851994e-07, 8.847271243764298e-06, 4.2131754462819415e-08]","[2.5220091291397462e-08, 1.2322150107831487e-08, 2.2704546197608536e-08, 3.873556425994847e-08, 6.022004615043215e-08, 1.0688515575851994e-07, 8.847271243764298e-06, 4.2131754462819415e-08]",8.847271243764298e-06,3.5392005146851454e-06,"[2.5219917772971272e-08, 1.232212895889602e-08, 2.2704541332197077e-08, 3.873556145284063e-08, 6.022004119768821e-08, 1.0688514676029243e-07, 8.847147951138081e-06, 4.213175315765684e-08]",4.999999999911372e-05,5.2009733867743047e-14,0.0,0.988250969144493,True,75,0.02,1e-05,banded ADMM with dual certificate,0.010358176001318498,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,1,0.001,0.013330364235645625,"[0.004615592349228081, 0.0046110267199290615, 0.003914383390813076, 0.0061258904598011105, 0.009370649606104982, 0.010942310967229484, 0.008239243370686116, 0.011229470806224568]","[0.004614496434866172, 0.0046096136971103, 0.003913591287926927, 0.006123450187355855, 0.009366149188907824, 0.010938436414589251, 0.008237016079959157, 0.011225000697556312]","[1.0959143619095404e-06, 1.4130228187612254e-06, 7.921028861487128e-07, 2.4402724452558464e-06, 4.50041719715806e-06, 3.87455264023312e-06, 2.227290726958611e-06, 4.470108668256159e-06]","[1.0959143619095404e-06, 1.4130228187612254e-06, 7.921028861487128e-07, 2.4402724452558464e-06, 4.50041719715806e-06, 3.87455264023312e-06, 2.227290726958611e-06, 4.470108668256159e-06]",4.50041719715806e-06,1.4595368073521374e-06,"[1.0959071415740998e-06, 1.413013611278359e-06, 7.920994593295545e-07, 2.4402567074472206e-06, 4.500391465435752e-06, 3.874540539289609e-06, 2.227283910541389e-06, 4.470092749937413e-06]",6.027269607855601e-05,2.5042034418332193e-14,0.0,0.9995135296274573,True,50,0.02,1e-05,banded ADMM with dual certificate,0.007394986001600046,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.1,3,pod_tv_weak,1,0.01,0.012935556204999827,"[0.03729314655814738, 0.03885239889347903, 0.0332629834011034, 0.05380635138164668, 0.08525617980773997, 0.0998598100898585, 0.07487329070985536, 0.10328521514276269]","[0.037293140054804066, 0.038852367958687746, 0.033262968192158654, 0.053806347875305374, 0.0852559174186152, 0.0998596408831429, 0.07487326839360806, 0.10328520297610966]","[6.503343315256149e-09, 3.093479128413179e-08, 1.5208944749434128e-08, 3.5063413075797634e-09, 2.6238912477494214e-07, 1.6920671559728095e-07, 2.231624730841819e-08, 1.2166653032275043e-08]","[6.503343315256149e-09, 3.093479128413179e-08, 1.5208944749434128e-08, 3.5063413075797634e-09, 2.6238912477494214e-07, 1.6920671559728095e-07, 2.231624730841819e-08, 1.2166653032275043e-08]",2.6238912477494214e-07,1.006995043809078e-07,"[6.503498396065455e-09, 3.0934782194180777e-08, 1.5208944954131498e-08, 3.506342355352743e-09, 2.6238902824105015e-07, 1.692066792374769e-07, 2.231624700310686e-08, 1.2166652837986014e-08]",5.661955620739345e-07,4.772397754759794e-14,0.0,0.9999966433523646,True,75,0.098,1e-05,banded ADMM with dual certificate,0.010591525002382696,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
