system,method,method_label,sparse_factor,obs_dt,noise,n_planned,support_f1_mean,support_f1_se,coef_error_median,coef_error_mean,coef_error_se,practical_score_mean,practical_score_se,exact_support_rate,state_error_median,weak_truth_residual_median,n_ok
burgers,tv_weak,TV states + weak,8,0.04,0.05,5,1.0,0.0,0.0026547741215631,0.005296318268400981,0.0017907439239845174,0.9947441927796163,0.0017694631892277595,1.0,0.0206045650012255,0.0343338606909873,5
burgers,tv_weak,TV states + weak,8,0.04,0.1,5,1.0,0.0,0.0085926621634069,0.008443637506688,0.002624185084930591,0.9916538551790589,0.0025742424945798237,1.0,0.0371160495733959,0.057630915940726,5
burgers,tv_weak,TV states + weak,8,0.04,0.2,5,0.9333333333333332,0.06666666666666668,0.0184461536393685,0.02197895208316624,0.00768164538105157,0.9152495651065948,0.07021214519188107,0.8,0.0664456321785581,0.1014394215165747,5
burgers,tv_weak,TV states + weak,32,0.16,0.05,5,1.0,0.0,0.0090737660944128,0.007775922290803419,0.0017696307401959216,0.9922963220664627,0.0017434688738349538,1.0,0.0423261582555277,0.0729637898930054,5
burgers,tv_weak,TV states + weak,32,0.16,0.1,5,0.9333333333333332,0.06666666666666668,0.0214521318534461,0.02528518187417856,0.007665173245798011,0.9123262368412275,0.07005328493683197,0.8,0.064835477072099,0.1191774657838556,5
burgers,tv_weak,TV states + weak,32,0.16,0.2,5,0.6666666666666666,0.0,0.0507738452450702,0.052430451893942596,0.0016163107622727438,0.6334603214848796,0.0009691421399647135,0.0,0.1297802177402543,0.1868711962068726,5
vanderpol_mu2,edmd_weak,EDMD + weak,16,0.08,0.05,5,1.0,0.0,0.0175517915660402,0.01672249115796188,0.0028455719046709287,0.9835833504644423,0.0027511852123876255,1.0,0.0479732529702097,0.0563570497127706,5
vanderpol_mu2,edmd_weak,EDMD + weak,16,0.08,0.1,5,0.9777777777777779,0.022222222222222227,0.0229056611996353,0.0304405187651954,0.008351826345256854,0.949591266576227,0.02685852824339614,0.8,0.0931103149596221,0.1214704164251654,5
vanderpol_mu2,edmd_weak,EDMD + weak,16,0.08,0.2,5,0.8047619047619048,0.057415026437083315,0.5327228003290362,0.5178035688639777,0.10131574935449908,0.5517852027253796,0.08244121773164141,0.2,0.1766674494940646,0.2520312115390509,5
vanderpol_mu2,edmd_weak,EDMD + weak,64,0.32,0.05,5,1.0,0.0,0.0292316951832276,0.02349232509551518,0.0045930981934287985,0.9771260199544003,0.004407859137370226,1.0,0.0548293019002496,0.0963794765928721,5
