system,sparse_factor,noise,seed,control,delta_f1,delta_error,delta_score,edmd_score_win,edmd_score_tie
burgers,32,0.2,1,tv_weak,0.0,0.004280829217955293,-0.0025361618946579956,0,0
burgers,32,0.2,2,tv_weak,0.0,0.0005960417483856992,-0.0003602098919440744,0,0
burgers,32,0.2,3,tv_weak,0.0,0.000764054753069697,-0.00045948439601750657,0,0
burgers,32,0.2,4,tv_weak,0.0,-8.98825767235989e-05,5.43330403041109e-05,1,0
burgers,8,0.05,0,pod_weak,0.0,-0.00010590065874089942,0.00010370930188674521,1,0
burgers,8,0.05,1,pod_weak,0.0,8.067802320680002e-05,-8.0231088891769e-05,0,0
burgers,8,0.05,2,pod_weak,0.0,-1.857266168580002e-05,1.8518449761639744e-05,1,0
burgers,8,0.05,3,pod_weak,0.0,-3.253425805300244e-06,3.2401894586309155e-06,1,0
burgers,8,0.05,4,pod_weak,0.0,0.00012444541944980035,-0.0001220706209790201,0,0
burgers,8,0.1,0,pod_weak,0.0,-0.0011098503940492003,0.0011025914188418362,1,0
burgers,8,0.1,1,pod_weak,0.0,-7.061410510349978e-05,6.991789808574733e-05,1,0
burgers,8,0.1,2,pod_weak,0.0,-0.0003132307037139008,0.0003011023169251503,1,0
burgers,8,0.1,3,pod_weak,0.0,0.0001356328058993994,-0.0001325767832836,0,0
burgers,8,0.1,4,pod_weak,0.0,-0.0002171662195767001,0.0002156910017809821,1,0
burgers,8,0.2,0,pod_weak,0.0,-0.0030636448346511,0.003019595411238085,1,0
burgers,8,0.2,1,pod_weak,0.0,0.0011940734012621974,-0.0011485997896202305,0,0
burgers,8,0.2,2,pod_weak,0.0,0.00024953600478020213,-0.00023729581823617174,0,0
burgers,8,0.2,3,pod_weak,0.0,-0.001954129622563701,0.0018376885310079638,1,0
burgers,8,0.2,4,pod_weak,0.0,0.0018302912241209002,-0.0013350317606880546,0,0
burgers,32,0.05,0,pod_weak,0.0,-0.00020983680155369985,0.00020572499645976627,1,0
burgers,32,0.05,1,pod_weak,0.0,-6.712959277500007e-05,6.584396635600509e-05,1,0
burgers,32,0.05,2,pod_weak,0.0,-0.00024317164973179997,0.00024165387181585007,1,0
burgers,32,0.05,3,pod_weak,0.0,0.0007995904464620004,-0.0007812866915256622,0,0
burgers,32,0.05,4,pod_weak,0.0,-0.00032995341855680035,0.0003277684355409427,1,0
burgers,32,0.1,0,pod_weak,-0.33333333333333337,0.0284816424996685,-0.34373408406378714,0,0
burgers,32,0.1,1,pod_weak,0.0,0.0007333273751217034,-0.00044067813773607245,0,0
burgers,32,0.1,2,pod_weak,0.0,0.0007136779104827962,-0.0004224080736024982,0,0
burgers,32,0.1,3,pod_weak,0.0,0.00011366980194479903,-0.00010926003463640477,0,0
burgers,32,0.1,4,pod_weak,0.0,0.005437324909800201,-0.00516603682557315,0,0
burgers,32,0.2,0,pod_weak,0.0,0.0007255799112156971,-0.00043662913379183266,0,0
burgers,32,0.2,1,pod_weak,0.0,0.001576395625371492,-0.0009315501888461641,0,0
burgers,32,0.2,2,pod_weak,0.0,0.0003252260837447035,-0.00019649537227017788,0,0
burgers,32,0.2,3,pod_weak,0.0,0.0007778728368845952,-0.000467800405340002,0,0
burgers,32,0.2,4,pod_weak,0.0,-0.0004171177639019988,0.00025206461239790645,1,0
