system,sparse_factor,noise,seed,method,feature,equation,coef,true_coef
burgers,8,0.05,2,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,u_xx,0,0.05041988139479423,0.05
burgers,8,0.05,2,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,pod_weak,1,0,0.0,0.0
burgers,8,0.05,2,pod_weak,u,0,0.0,0.0
burgers,8,0.05,2,pod_weak,u*u_x,0,-1.0014525830270429,-1.0
burgers,8,0.05,2,pod_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,pod_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,pod_weak,u_xx,0,0.05024907520454188,0.05
burgers,8,0.05,2,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,raw_weak,1,0,0.0,0.0
burgers,8,0.05,2,raw_weak,u,0,0.0,0.0
burgers,8,0.05,2,raw_weak,u*u_x,0,-1.0016788546210984,-1.0
burgers,8,0.05,2,raw_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,raw_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,raw_weak,u_xx,0,0.05006784930818219,0.05
burgers,8,0.05,2,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,tv_weak,1,0,0.0,0.0
burgers,8,0.05,2,tv_weak,u,0,0.0,0.0
burgers,8,0.05,2,tv_weak,u*u_x,0,-1.0019284146918184,-1.0
burgers,8,0.05,2,tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,tv_weak,u_xx,0,0.050259549286714694,0.05
burgers,8,0.05,3,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,1,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,u,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,u*u_x,0,-1.0016061766888325,-1.0
burgers,8,0.05,3,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,edmd_weak,u_xx,0,0.0512599080135483,0.05
burgers,8,0.05,3,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,linear_weak,1,0,0.0,0.0
burgers,8,0.05,3,linear_weak,u,0,0.0,0.0
burgers,8,0.05,3,linear_weak,u*u_x,0,-1.0017032312841823,-1.0
burgers,8,0.05,3,linear_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,linear_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,linear_weak,u_xx,0,0.05097770849679614,0.05
burgers,8,0.05,3,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,u*u_x,0,-1.0017957850450516,-1.0
burgers,8,0.05,3,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,pod_tv_weak,u_xx,0,0.051269763104622106,0.05
burgers,8,0.05,3,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,pod_weak,1,0,0.0,0.0
burgers,8,0.05,3,pod_weak,u,0,0.0,0.0
burgers,8,0.05,3,pod_weak,u*u_x,0,-1.0015998746965158,-1.0
burgers,8,0.05,3,pod_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,pod_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,pod_weak,u_xx,0,0.051273138947051176,0.05
burgers,8,0.05,3,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,raw_weak,1,0,0.0,0.0
burgers,8,0.05,3,raw_weak,u,0,0.0,0.0
burgers,8,0.05,3,raw_weak,u*u_x,0,-1.0016940412407584,-1.0
burgers,8,0.05,3,raw_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,raw_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,raw_weak,u_xx,0,0.050917996542335205,0.05
burgers,8,0.05,3,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,3,tv_weak,1,0,0.0,0.0
burgers,8,0.05,3,tv_weak,u,0,0.0,0.0
burgers,8,0.05,3,tv_weak,u*u_x,0,-1.0023312804886209,-1.0
burgers,8,0.05,3,tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,3,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,3,tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,3,tv_weak,u_xx,0,0.0512769402820761,0.05
burgers,8,0.05,4,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,1,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,u,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,u*u_x,0,-0.9906793488430111,-1.0
burgers,8,0.05,4,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,edmd_weak,u_xx,0,0.047122594950491384,0.05
burgers,8,0.05,4,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,linear_weak,1,0,0.0,0.0
burgers,8,0.05,4,linear_weak,u,0,0.0,0.0
burgers,8,0.05,4,linear_weak,u*u_x,0,-0.9909983047996913,-1.0
burgers,8,0.05,4,linear_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,linear_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,linear_weak,u_xx,0,0.046532407150207476,0.05
burgers,8,0.05,4,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,u*u_x,0,-0.9910326412987129,-1.0
burgers,8,0.05,4,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,pod_tv_weak,u_xx,0,0.04719891423132156,0.05
burgers,8,0.05,4,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,pod_weak,1,0,0.0,0.0
burgers,8,0.05,4,pod_weak,u,0,0.0,0.0
burgers,8,0.05,4,pod_weak,u*u_x,0,-0.9908052878888813,-1.0
burgers,8,0.05,4,pod_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,pod_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,pod_weak,u_xx,0,0.04713715068210841,0.05
burgers,8,0.05,4,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,raw_weak,1,0,0.0,0.0
burgers,8,0.05,4,raw_weak,u,0,0.0,0.0
burgers,8,0.05,4,raw_weak,u*u_x,0,-0.9909126733956859,-1.0
burgers,8,0.05,4,raw_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,raw_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,raw_weak,u_xx,0,0.046485164807013264,0.05
burgers,8,0.05,4,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,4,tv_weak,1,0,0.0,0.0
burgers,8,0.05,4,tv_weak,u,0,0.0,0.0
burgers,8,0.05,4,tv_weak,u*u_x,0,-0.9908509800437023,-1.0
burgers,8,0.05,4,tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,4,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,4,tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,4,tv_weak,u_xx,0,0.04688453331246251,0.05
burgers,8,0.1,0,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,1,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,u,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,u*u_x,0,-1.0015718577149664,-1.0
burgers,8,0.1,0,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,edmd_weak,u_xx,0,0.05223821281917715,0.05
burgers,8,0.1,0,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,linear_weak,1,0,0.0,0.0
burgers,8,0.1,0,linear_weak,u,0,0.0,0.0
burgers,8,0.1,0,linear_weak,u*u_x,0,-1.0019395488799647,-1.0
burgers,8,0.1,0,linear_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,linear_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,linear_weak,u_xx,0,0.0516493764522291,0.05
burgers,8,0.1,0,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,u*u_x,0,-1.003458572324272,-1.0
burgers,8,0.1,0,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,pod_tv_weak,u_xx,0,0.052588780203423,0.05
burgers,8,0.1,0,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,pod_weak,1,0,0.0,0.0
burgers,8,0.1,0,pod_weak,u,0,0.0,0.0
burgers,8,0.1,0,pod_weak,u*u_x,0,-1.0030921110973636,-1.0
burgers,8,0.1,0,pod_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,pod_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,pod_weak,u_xx,0,0.05228747439361793,0.05
burgers,8,0.1,0,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,raw_weak,1,0,0.0,0.0
burgers,8,0.1,0,raw_weak,u,0,0.0,0.0
burgers,8,0.1,0,raw_weak,u*u_x,0,-1.0018146504789096,-1.0
burgers,8,0.1,0,raw_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,raw_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,raw_weak,u_xx,0,0.05158899495879854,0.05
burgers,8,0.1,0,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,0,tv_weak,1,0,0.0,0.0
burgers,8,0.1,0,tv_weak,u,0,0.0,0.0
burgers,8,0.1,0,tv_weak,u*u_x,0,-0.996645953174205,-1.0
burgers,8,0.1,0,tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,0,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,0,tv_weak,u_x,0,0.0,0.0
burgers,8,0.1,0,tv_weak,u_xx,0,0.0521092490356832,0.05
burgers,8,0.1,1,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,1,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,u,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,u*u_x,0,-1.0009440938491332,-1.0
burgers,8,0.1,1,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.1,1,edmd_weak,u_xx,0,0.05484616337865329,0.05
burgers,8,0.1,1,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,linear_weak,1,0,0.0,0.0
burgers,8,0.1,1,linear_weak,u,0,0.0,0.0
burgers,8,0.1,1,linear_weak,u*u_x,0,-1.0004102875110672,-1.0
burgers,8,0.1,1,linear_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,linear_weak,u_x,0,0.0,0.0
burgers,8,0.1,1,linear_weak,u_xx,0,0.053822974613176124,0.05
burgers,8,0.1,1,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.1,1,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.1,1,pod_tv_weak,u*u_x,0,-1.0002509222422022,-1.0
burgers,8,0.1,1,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,pod_tv_weak,u_x,0,0.0,0.0
