system,method,method_label,noise,sparse_factor,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.05,8,0.6666666666666666,0.2666425867276,0.2730186924627154,0.3071767843864741,1.7862349729932825,0.031226342271777,0,0.0,0.5237871005610827,5,5,0.0,0.008761894327717559,0.003541081301387018
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.05,32,0.6666666666666666,0.3853679645719829,0.40437354646289725,0.4643523382328587,0.6169996247285672,0.0474014990149974,0,0.0,0.4750178074403534,5,5,0.0,0.01809401419522457,0.006021765797769757
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.1,8,0.6666666666666666,0.5795599586576884,0.6179935884742902,0.7149838813176542,3.901062254175361,0.0663257919459604,0,0.0,0.4125578896377008,5,5,0.0,0.02920264793070686,0.007272729210041381
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.1,32,0.6133333333333333,0.7657695409479004,0.8150005048644686,1.0666251701115428,1.7929801405345434,0.1146285194865953,0,0.0,0.3433459053744813,5,5,0.053333333333333316,0.06664797721408437,0.037746271140165676
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.2,8,0.6,0.7921948609549534,0.7850980447996669,0.8241134502519766,7.775736321499881,0.1325392602733218,0,0.0,0.3361028000466024,5,5,0.04082482904638629,0.017065122738921874,0.02261701893873824
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.2,32,0.5022222222222222,0.9321562281251544,0.9297003178300136,0.9626978448123412,3.151120914902892,0.2036887907505072,0,0.0,0.2607764918757035,5,5,0.04518822090591724,0.012374291635606044,0.02504455754471823
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.5,8,0.48,1.0025575286217383,0.9702336510506289,1.0416770352678515,21.65767805462468,0.3347090974909066,0,0.0,0.24528435433491952,5,5,0.047453681120139174,0.03243534921006861,0.02869205297489208
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.5,32,0.40888888888888886,1.014584614045943,1.0169478972318442,1.0339841384578532,6.94371976855768,0.4846603577701329,0,0.0,0.20269768748838873,5,5,0.008888888888888878,0.006424716799407942,0.003981271838574552
burgers,pod_tv_diff,POD + TV differentiation,0.05,8,0.6666666666666666,0.2148889559737583,0.2133843955034002,0.2185770785962157,0.2177995662042769,0.0199370405847245,0,0.0,0.5494394251936559,5,5,0.0,0.0028266042620644386,0.0012876046944054918
burgers,pod_tv_diff,POD + TV differentiation,0.05,32,0.6666666666666666,0.3699978453425864,0.37067322424123045,0.4005038896245465,0.2437096441972935,0.0397713757892881,0,0.0,0.48650167038237513,5,5,0.0,0.010884278939496417,0.003862403397726174
