system,method,sparse_factor,noise,seed,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
lorenz63,tv_diff,16,0.05,1,2,0.001,0.041150146194471264,"[0.03149820738830132, 0.04247798945445317, 0.053892160262900154]","[0.03149793547114818, 0.04247746636353937, 0.05389104255338841]","[2.719171531412323e-07, 5.230909137995954e-07, 1.1177095117428926e-06]","[2.719171531412323e-07, 5.230909137995954e-07, 1.1177095117428926e-06]",1.1177095117428926e-06,6.271894801863215e-08,"[2.719171466672443e-07, 5.2309089564051e-07, 1.1177094742312321e-06]",6.840807541541594e-07,4.336808689942018e-19,0.0,0.9999790937388426,True,75,0.0504,1e-05,banded ADMM with dual certificate,0.003550475000338338,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,0.01,0.044343533899219724,"[0.3066846872742792, 0.4143558917285694, 0.5318253124820422]","[0.30668454186124916, 0.414354496994382, 0.5318250197327572]","[1.454130300615475e-07, 1.3947341874209762e-06, 2.927492850357538e-07]","[1.454130300615475e-07, 1.3947341874209762e-06, 2.927492850357538e-07]",1.3947341874209762e-06,1.00456396597004e-07,"[1.4541302767456799e-07, 1.3947340634090644e-06, 2.9274928248224086e-07]",7.436542728278539e-07,3.469446951953614e-18,0.0,0.9999966514558739,True,75,0.126,1e-05,banded ADMM with dual certificate,0.0033860869998534326,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,0.1,0.09419653487416575,"[2.4817841174747213, 3.477232621002887, 4.6945272845447725]","[2.481784004727796, 3.4772326209912077, 4.694484239805271]","[1.1274692512941442e-07, 1.1679546219056647e-11, 4.30447395016742e-05]","[4.5429787520816795e-08, 3.358862489817574e-12, 9.169131819381521e-06]",9.169131819381521e-06,2.7532988498002453e-06,"[1.1274692379714679e-07, 1.1681322575896047e-11, 4.304467461047068e-05]",2.565983897973023e-06,2.7755575615628914e-17,0.0,0.9999893009805496,True,200,1.2600000000000002,1e-05,banded ADMM with dual certificate,0.009811368000100629,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,1.0,0.3257483997959705,"[13.398038561298439, 17.66354286906408, 27.59798568374831]","[13.397964303670838, 17.66354219407616, 27.597983266477648]","[7.425762760071564e-05, 6.749879197798236e-07, 2.4172706609704164e-06]","[5.542425278220661e-06, 3.8213620267652934e-08, 8.758866276222037e-08]",5.542425278220661e-06,6.716051472066553e-06,"[7.425730153620691e-05, 6.749878425083011e-07, 2.4172704158331726e-06]",1.1439909445964958e-05,2.220446049250313e-16,0.0,0.999992448268815,True,225,6.3,1e-05,banded ADMM with dual certificate,0.011668288999771903,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,10.0,0.7885496828396283,"[31.638490409342403, 33.154463628232364, 42.355173765003165]","[31.63849037078149, 33.15446345568, 42.354788770439214]","[3.856091268517048e-08, 1.7255236173241428e-07, 0.0003849945639515795]","[1.2187974895851536e-09, 5.20449866622119e-09, 9.089670274701816e-06]",9.089670274701816e-06,1.744711164874957e-06,"[3.8560889592531566e-08, 1.725523715023769e-07, 0.0003849945336548144]",1.114353348263819e-05,3.552713678800501e-15,0.0,0.9999991489878557,True,325,63.0,1e-05,banded ADMM with dual certificate,0.014519788999677985,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,100.0,1.0320012213358492,"[42.09399251825454, 41.54048067640171, 42.49518816099193]","[42.093992156893215, 41.54006720315193, 42.49507624861341]","[3.6136132308683955e-07, 0.0004134732497789173, 0.00011191237852159475]","[8.584629337075381e-09, 9.953501814286972e-06, 2.633530603456033e-06]",9.953501814286972e-06,8.256142436380287e-10,"[3.6136133060860054e-07, 0.0004134732497718609, 0.00011191237851609731]",7.263915335897764e-08,1.4210854715202004e-14,0.0,0.9999999996848682,True,1625,1260.0,1e-05,banded ADMM with dual certificate,0.069760223999765,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,1000.0,1.0331271205297465,"[42.09765966169706, 41.540067249851916, 42.49507625129761]","[42.09765966169617, 41.54006724985022, 42.49507625129751]","[8.881784197001252e-13, 1.6981971384666394e-12, 9.947598300641403e-14]","[2.109804741730673e-14, 4.088094340946675e-14, 2.340882562915191e-15]",4.088094340946675e-14,6.517009154549669e-14,"[8.770217281902632e-13, 1.685423659353426e-12, 9.281175935586889e-14]",1.1102230246251565e-16,2.1316282072803006e-14,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.000585112999942794,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,0.0,0.06656739900903214,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0005854030000591592,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,0.0001,0.03958141376755589,"[0.0030713273655138176, 0.004334892748109629, 0.00470622834022919]","[0.003071326097754563, 0.0043300002633822506, 0.004704530520599124]","[1.2677592543461347e-09, 4.892484727378292e-06, 1.6978196300662315e-06]","[1.2677592543461347e-09, 4.892484727378292e-06, 1.6978196300662315e-06]",4.892484727378292e-06,3.345647402686015e-07,"[1.2677959767073976e-09, 4.892483166137572e-06, 1.6978195740372654e-06]",1.610980868593792e-06,5.457999774794581e-14,0.0,0.9988848805304199,True,125,0.04,1e-05,banded ADMM with dual certificate,0.006333992999770999,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,0.001,0.041127908068546756,"[0.030641727768600167, 0.04323598211889627, 0.04700423399653226]","[0.030641267826525282, 0.043235605795332636, 0.04700349784873004]","[4.59942074884645e-07, 3.763235636305984e-07, 7.361478022160917e-07]","[4.59942074884645e-07, 3.763235636305984e-07, 7.361478022160917e-07]",7.361478022160917e-07,4.5696742079995994e-08,"[4.5994200714369327e-07, 3.763235161130529e-07, 7.36147761318251e-07]",5.019128012928586e-07,7.359455926614356e-14,0.0,0.9999847677505425,True,75,0.0504,1e-05,banded ADMM with dual certificate,0.003716546000305243,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
