system,noise,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
fisher_kpp,0.5,baseline,10,5,-0.038354978354978364,0.035026795034414214,2,5,1,0.3149119886138019,0.11057101499568667,4,0,0,-0.10427133692970614,0.04232522973749989,4,0,0
advection_diffusion,0.05,baseline,10,5,0.0,0.0,0,10,0,-0.16194725322341813,0.00105094028208043,10,0,5,0.08224164181975287,0.0004759892681567766,10,0,5
advection_diffusion,0.1,baseline,10,5,0.007777777777777772,0.0572949914860166,4,3,3,-0.22555686353204765,0.043377615349488155,7,0,5,0.09950214863599743,0.046076434206621456,7,0,5
advection_diffusion,0.2,baseline,10,5,0.14777777777777773,0.05272219295163687,7,2,4,-0.18409213913304007,0.036683276291528434,10,0,5,0.12966011132536673,0.038332327139177634,9,0,4
advection_diffusion,0.5,baseline,10,5,-0.013333333333333341,0.0465673546437686,4,3,1,-0.07472130395952808,0.013746546136546935,9,0,5,0.003497058163413486,0.023770369246451935,7,0,2
lorenz63,0.05,tv_diff,10,5,0.03754747729051133,0.028380418602939002,6,0,3,-0.131215355357229,0.10666170703365671,5,0,4,0.11549601097005573,0.03567285729095556,6,0,4
lorenz63,0.1,tv_diff,10,5,0.03208363388703948,0.04324719691793006,6,0,2,-0.09874852543360116,0.10053905385513409,4,0,4,0.05846528033746259,0.04597396933593992,7,0,4
lorenz63,0.2,tv_diff,10,5,0.011127497975021194,0.08547270161432638,4,0,3,-2.9245707503291944,2.9174458908463534,5,0,3,0.04842262489607817,0.08474173077639365,4,0,2
lorenz63,0.5,tv_diff,10,5,0.02901460258881548,0.028267755428108877,5,1,3,-13.646827871758877,9.376886841784627,4,0,2,0.022668519257045334,0.03811722395686894,5,0,3
vanderpol_mu2,0.05,tv_diff,10,5,0.01428571428571429,0.01428571428571429,1,9,1,-0.16397791036834802,0.01713583007795281,9,0,5,0.13015819074506366,0.01822827633299163,9,0,5
vanderpol_mu2,0.1,tv_diff,10,5,0.01428571428571429,0.01428571428571429,1,9,1,-0.16322217873760408,0.010836794856259598,10,0,5,0.12006856633530258,0.013887417596767575,10,0,5
vanderpol_mu2,0.2,tv_diff,10,5,-0.08690476190476192,0.051367051191379055,1,5,0,-0.04228173457164468,0.059364612275105186,8,0,3,-0.012095790270254125,0.04856563234205929,7,0,2
vanderpol_mu2,0.5,tv_diff,10,5,-0.37968499971932473,0.04981248054772358,0,0,0,0.7181539696826377,0.15232866809665943,1,0,0,-0.33520727315794807,0.04150719443355426,0,0,0
burgers,0.05,tv_diff,10,5,0.0,0.0,0,10,0,0.02970904722799202,0.011492927761855868,2,0,0,-0.012250285945214202,0.0037837828230823057,2,0,0
burgers,0.1,tv_diff,10,5,-0.02666666666666666,0.026666666666666658,0,9,0,0.2439139661288933,0.05258728979731128,2,0,0,-0.07988970458459992,0.023143328545922857,2,0,0
burgers,0.2,tv_diff,10,5,-0.09888888888888887,0.0282405889491974,0,4,0,0.14743142260809694,0.009123357833045664,0,0,0,-0.084986390594577,0.015908185907370736,0,0,0
burgers,0.5,tv_diff,10,5,-0.08666666666666666,0.03280130982027891,0,5,0,0.08223984978410157,0.01889600134042557,0,0,0,-0.055707171666677914,0.018810708787186332,0,0,0
fisher_kpp,0.05,tv_diff,10,5,0.0,0.0,0,10,0,0.01355799536930975,0.004742834672301549,1,0,1,-0.010124518706694275,0.003500169518921508,1,0,1
fisher_kpp,0.1,tv_diff,10,5,-0.032380952380952385,0.035583888937656016,1,7,1,0.13493600105293643,0.13086774440730561,3,0,1,-0.08734563601351175,0.07249978858732979,3,0,1
fisher_kpp,0.2,tv_diff,10,5,0.053333333333333365,0.024944382578492956,4,6,3,-0.3285986138590037,0.12617126455554734,7,0,4,0.1593100592301223,0.07105948143298457,7,0,4
fisher_kpp,0.5,tv_diff,10,5,0.043030303030303065,0.01695751727414266,5,3,4,-0.08285970059675508,0.10894647383388457,5,0,3,0.07552763143010374,0.0343786830498654,6,0,4
advection_diffusion,0.05,tv_diff,10,5,0.0,0.0,0,10,0,-0.039436625713341125,0.002339632299881706,10,0,5,0.021155867790342852,0.0012753050624214263,10,0,5
advection_diffusion,0.1,tv_diff,10,5,-0.04222222222222222,0.03914991761655081,1,6,1,0.03947373904987482,0.02761182119493624,6,0,1,-0.030531351202351696,0.0326746102119968,6,0,1
advection_diffusion,0.2,tv_diff,10,5,0.05666666666666666,0.017159383568311662,4,5,4,0.06294970566044793,0.022646895816913697,2,0,0,0.02247406794305218,0.0068758249574713175,5,0,4
advection_diffusion,0.5,tv_diff,10,5,0.0211111111111111,0.03559026084010436,5,2,4,0.1309058823279985,0.02082734045778462,0,0,0,-0.00587915448129617,0.01663561120750126,4,0,3
burgers,0.05,pod_tv_diff,10,5,0.0,0.0,0,10,0,0.04666730959049101,0.007412398182987916,0,0,0,-0.018568093787297447,0.0027099634686413364,0,0,0
burgers,0.1,pod_tv_diff,10,5,-0.02666666666666666,0.026666666666666658,0,9,0,0.28143471014751037,0.03710293948763494,0,0,0,-0.08957973262416555,0.019891441145483257,0,0,0
burgers,0.2,pod_tv_diff,10,5,-0.09888888888888887,0.032078222296115656,0,5,0,0.1597276745733287,0.008655770875425753,0,0,0,-0.086407863213365,0.016173271038790998,0,0,0
burgers,0.5,pod_tv_diff,10,5,-0.06555555555555556,0.046792159309434575,2,3,1,0.0802405678085637,0.01915881434139342,0,0,0,-0.04414841575385712,0.026450693023958586,2,0,1
fisher_kpp,0.05,pod_tv_diff,10,5,0.0,0.0,0,10,0,0.00827722638388691,0.0018434807383697043,2,0,0,-0.006103578885022521,0.0013370844133370075,2,0,0
fisher_kpp,0.1,pod_tv_diff,10,5,-0.04571428571428573,0.027994168488950616,0,8,0,0.21328226977851888,0.0776818568696801,0,0,0,-0.1292813142071056,0.04509400433997736,0,0,0
fisher_kpp,0.2,pod_tv_diff,10,5,0.0,0.0,0,10,0,-0.025068197880124293,0.07305603112428366,3,0,1,-0.008034177523219565,0.02512335389747518,3,0,1
fisher_kpp,0.5,pod_tv_diff,10,5,0.09515151515151521,0.017337729893778055,7,1,5,-0.32608937965530727,0.12654019476811143,7,0,5,0.20292095201542998,0.04694474573929636,8,0,5
advection_diffusion,0.05,pod_tv_diff,10,5,0.0,0.0,0,10,0,-0.0006438600608443014,0.0009901292905970763,4,0,4,0.00027243147703870374,0.0005381187108520221,4,0,4
advection_diffusion,0.1,pod_tv_diff,10,5,-0.04222222222222222,0.02053302068064036,0,7,0,0.10411521397406318,0.03336442550326592,1,0,0,-0.05441716821014466,0.020999989866505975,1,0,0
advection_diffusion,0.2,pod_tv_diff,10,5,0.0022222222222222253,0.04446527289725275,2,6,2,0.12197941726913011,0.02792937793234218,2,0,0,-0.036793360018590945,0.03314440265713808,3,0,2
advection_diffusion,0.5,pod_tv_diff,10,5,-0.03333333333333334,0.0375154289247425,4,2,2,0.14965797386490637,0.02560163959702007,0,0,0,-0.04145112210841939,0.017146162750055854,3,0,0
