system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
fisher_kpp,0.2,8,tv_diff,5,5,0.053333333333333365,0.03265986323710906,2,3,2,-0.2608040380642113,0.17319538433981718,3,0,3,0.1452558828225899,0.09818796067883066,3,0,3
fisher_kpp,0.5,8,tv_diff,5,5,0.0775757575757576,0.051225567537249564,2,3,2,-0.36046014129795606,0.18763479109003423,3,0,3,0.17028933454255496,0.10443043744041292,3,0,3
fisher_kpp,0.05,32,tv_diff,5,5,0.0,0.0,0,5,0,0.01398119967216524,0.007064410067752045,1,0,1,-0.01034785958354878,0.005183849369564358,1,0,1
fisher_kpp,0.1,32,tv_diff,5,5,0.026666666666666682,0.02666666666666668,1,4,1,0.006038956924027896,0.20005235329386764,3,0,3,0.0021950146670213556,0.0953565407040774,3,0,3
fisher_kpp,0.2,32,tv_diff,5,5,0.053333333333333365,0.03265986323710906,2,3,2,-0.3963931896537959,0.20264276731679487,4,0,4,0.17336423563765474,0.10206921338737533,4,0,4
fisher_kpp,0.5,32,tv_diff,5,5,0.008484848484848517,0.08424787425143818,3,0,3,0.19474074010444586,0.34171465066132906,2,0,2,-0.019234071682347437,0.14572241878597494,3,0,3
advection_diffusion,0.05,4,tv_diff,5,5,0.0,0.0,0,5,0,-0.016074427692240663,0.0012140598512010708,5,0,5,0.00978370034774756,0.0007563326750105785,5,0,5
advection_diffusion,0.1,4,tv_diff,5,5,0.0,0.0,0,5,0,-0.01123953441562838,0.0033639398687028933,5,0,5,0.00605967221971977,0.001840815873156596,5,0,5
advection_diffusion,0.2,4,tv_diff,5,5,0.06666666666666665,0.040824829046386284,2,3,2,0.059439017842532305,0.02789538620899727,1,0,1,0.030625260740279513,0.034276797095422674,2,0,2
advection_diffusion,0.5,4,tv_diff,5,5,0.04444444444444444,0.03531166351571267,3,1,3,0.17066898003876707,0.02770335529624837,0,0,0,0.0002477930118983451,0.018332274252834214,2,0,2
advection_diffusion,0.05,16,tv_diff,5,5,0.0,0.0,0,5,0,-0.0627988237344416,0.005393390414188237,5,0,5,0.032528035232938145,0.0029185703062750714,5,0,5
advection_diffusion,0.1,16,tv_diff,5,5,-0.08444444444444443,0.07829983523310162,1,1,1,0.09018701251537801,0.056305157045795994,1,0,1,-0.06712237462442316,0.06647163042928311,1,0,1
advection_diffusion,0.2,16,tv_diff,5,5,0.046666666666666655,0.052281290471193724,2,2,2,0.06646039347836355,0.023431596287380493,1,0,1,0.014322875145824842,0.028786241027943516,3,0,3
advection_diffusion,0.5,16,tv_diff,5,5,-0.0022222222222222365,0.08580770922803474,2,1,2,0.09114278461722987,0.01692629676022926,0,0,0,-0.012006101974490684,0.044453126024517474,2,0,2
burgers,0.05,8,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.0596342969593152,0.009033445366743813,0,0,0,-0.02565232463257321,0.0036914762056805567,0,0,0
burgers,0.1,8,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.29560937886817873,0.02735855000693383,0,0,0,-0.09161263189217479,0.006685195394127157,0,0,0
burgers,0.2,8,pod_tv_diff,5,5,-0.06666666666666665,0.04082482904638629,0,3,0,0.19610489048936655,0.014786162524106387,0,0,0,-0.0834848180102303,0.023908776075016167,0,0,0
burgers,0.5,8,pod_tv_diff,5,5,-0.12,0.08023114754904752,1,0,1,0.11060690105783819,0.03312430663622192,0,0,0,-0.07740406407713858,0.04592074560451497,1,0,1
