system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,16,0.05,1,y*y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,1,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,1,1,1.5119749322680331,0.0
lorenz63,tv_diff,16,0.05,1,1,2,25.014004332873395,0.0
lorenz63,tv_diff,16,0.05,1,x,0,-8.768039858176968,-10.0
lorenz63,tv_diff,16,0.05,1,x,1,16.83948861111526,28.0
lorenz63,tv_diff,16,0.05,1,x,2,0.30093262988545205,0.0
lorenz63,tv_diff,16,0.05,1,y,0,8.726003912891786,10.0
lorenz63,tv_diff,16,0.05,1,y,1,1.147957966536474,-1.0
lorenz63,tv_diff,16,0.05,1,y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z,2,-3.6741448264291563,-2.6666666666666665
lorenz63,tv_diff,16,0.05,1,x*x,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x,2,0.40847684868754347,0.0
lorenz63,tv_diff,16,0.05,1,x*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y,2,0.5525434972523365,1.0
lorenz63,tv_diff,16,0.05,1,x*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*z,1,-0.6942390739912676,-1.0
lorenz63,tv_diff,16,0.05,1,x*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*x,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*x,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*x,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*x*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,x*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*y,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*y,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*y,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*y*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,y*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z*z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z*z,1,0.0,0.0
lorenz63,tv_diff,16,0.05,1,z*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,1,0,0.9992429760936865,0.0
lorenz63,baseline,16,0.05,2,1,1,0.0,0.0
lorenz63,baseline,16,0.05,2,1,2,7.997177324555333,0.0
lorenz63,baseline,16,0.05,2,x,0,-12.526351702409812,-10.0
lorenz63,baseline,16,0.05,2,x,1,26.880313821900767,28.0
lorenz63,baseline,16,0.05,2,x,2,0.0,0.0
lorenz63,baseline,16,0.05,2,y,0,11.459532394897018,10.0
lorenz63,baseline,16,0.05,2,y,1,-2.9900194721291093,-1.0
lorenz63,baseline,16,0.05,2,y,2,0.15319528066147728,0.0
lorenz63,baseline,16,0.05,2,z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,z,2,-2.246181413605106,-2.6666666666666665
lorenz63,baseline,16,0.05,2,x*x,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x,2,0.7592068522293103,0.0
lorenz63,baseline,16,0.05,2,x*y,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y,2,-0.1769649181616289,1.0
lorenz63,baseline,16,0.05,2,x*z,0,0.11833240190016128,0.0
lorenz63,baseline,16,0.05,2,x*z,1,-1.1016326890559573,-1.0
lorenz63,baseline,16,0.05,2,x*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y,2,0.3887654894903885,0.0
lorenz63,baseline,16,0.05,2,y*z,0,-0.0914348377629392,0.0
lorenz63,baseline,16,0.05,2,y*z,1,0.20824911999568196,0.0
lorenz63,baseline,16,0.05,2,y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z,2,-0.038701668591022885,0.0
lorenz63,baseline,16,0.05,2,x*x*x,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*x,1,0.049868958077035834,0.0
lorenz63,baseline,16,0.05,2,x*x*x,2,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*y,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*y,1,-0.043107006449302335,0.0
lorenz63,baseline,16,0.05,2,x*x*y,2,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*x*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,x*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,x*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,x*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,y*y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,y*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,y*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,y*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,2,z*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,1,0,0.38131741632367344,0.0
lorenz63,edmd_poly3,16,0.05,2,1,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,1,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x,0,-9.711114166790834,-10.0
lorenz63,edmd_poly3,16,0.05,2,x,1,26.986063632928833,28.0
lorenz63,edmd_poly3,16,0.05,2,x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y,0,9.812878343002124,10.0
lorenz63,edmd_poly3,16,0.05,2,y,1,-0.845613590638398,-1.0
lorenz63,edmd_poly3,16,0.05,2,y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z,2,-2.664779596943918,-2.6666666666666665
lorenz63,edmd_poly3,16,0.05,2,x*x,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y,2,1.0059627037710261,1.0
