system,sparse_factor,noise,seed,comparator,support_f1_edmd,support_f1_other,support_f1_delta,coef_error_edmd,coef_error_other,coef_error_delta,practical_score_edmd,practical_score_other,practical_score_delta
advection_diffusion,4,0.2,1,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.3905051875036615,0.3363496378046318,0.05415554969902969,0.4794420564971183,0.4988714388862132,-0.019429382389094918
advection_diffusion,4,0.2,2,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.4795808020557829,0.3763711682791684,0.10320963377661452,0.4505780730193146,0.3632741018726318,0.08730397114668276
advection_diffusion,4,0.2,3,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.4737985707362009,0.3423936943132715,0.13140487642292942,0.4523458496323885,0.4966252966553999,-0.0442794470230114
advection_diffusion,4,0.5,0,tv_diff,0.4,0.4,0.0,0.808141574591923,0.7009526773621606,0.10718889722976244,0.2212216153982718,0.2351623330405173,-0.013940717642245526
advection_diffusion,4,0.2,4,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.3179416778720083,0.3479362638718655,-0.029994585999857215,0.5058392779133356,0.3709374199665644,0.13490185794677123
advection_diffusion,4,0.5,2,tv_diff,0.4,0.4444444444444444,-0.0444444444444444,0.9100077836199516,0.674308273791208,0.23569950982874366,0.2094232303294063,0.2654495897807814,-0.05602635945137513
advection_diffusion,4,0.5,1,tv_diff,0.4444444444444444,0.4,0.0444444444444444,0.9231377166734014,0.7247956324223941,0.1983420842510073,0.2311038053027393,0.2319115334482955,-0.0008077281455561858
advection_diffusion,4,0.5,3,tv_diff,0.5,0.4444444444444444,0.05555555555555558,0.7891721254240811,0.68741970210793,0.10175242331615109,0.2794588585944389,0.2633870185877544,0.016071840006684546
advection_diffusion,16,0.05,0,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.0883138749357883,0.1551370087897228,-0.06682313385393451,0.6125683794171977,0.5771321164449198,0.035436262972277865
advection_diffusion,16,0.05,1,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.0915274336839159,0.1536048645458597,-0.0620774308619438,0.6107649208748331,0.5778986264322955,0.032866294442537636
advection_diffusion,4,0.5,4,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.7859880621151616,0.5756260765469907,0.21036198556817087,0.3732761045878029,0.3173341742958189,0.05594193029198402
advection_diffusion,16,0.05,2,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.0983353760821582,0.1788911715741103,-0.0805557954919521,0.6069791442434596,0.5655031462967886,0.041475997946671006
advection_diffusion,16,0.05,3,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.1199769115326191,0.1759866606599482,-0.0560097491273291,0.5952503661476152,0.5668998543678565,0.02835051177975867
advection_diffusion,16,0.05,4,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.1248575355077877,0.1733855448448362,-0.0485280093370485,0.5926676451215819,0.5681565360981363,0.024511109023445554
advection_diffusion,16,0.1,1,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.313250823089962,0.2986500782007394,0.014600744889222583,0.5076461060942338,0.5133535798883742,-0.005707473794140383
advection_diffusion,16,0.1,0,tv_diff,0.4,0.6666666666666666,-0.2666666666666666,0.6322835028599302,0.4902243520893407,0.1420591507705895,0.2450554694078317,0.4473599332422526,-0.20230446383442088
advection_diffusion,16,0.1,2,tv_diff,0.4444444444444444,0.6666666666666666,-0.2222222222222222,0.6689501397858234,0.4576007645163025,0.2113493752695209,0.2663018108506704,0.4573726104540681,-0.19107079960339768
advection_diffusion,16,0.1,3,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.2751489062447045,0.3670520750237602,-0.09190316877905569,0.5228147578701146,0.3657505146549078,0.15706424321520673
advection_diffusion,16,0.1,4,tv_diff,0.4,0.5,-0.09999999999999998,0.68635708703342,0.5115281266068072,0.17482896042661278,0.2371976867032746,0.3307910658086382,-0.09359337910536361
advection_diffusion,16,0.2,0,tv_diff,0.4,0.4,0.0,0.6931050728452495,0.7074673943985139,-0.014362321553264445,0.2362523191356359,0.234265088347943,0.0019872307876929174
advection_diffusion,16,0.2,2,tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.6960389555575056,0.6205688366025213,0.07547011895498434,0.3930727324877549,0.4113781849984942,-0.01830545251073934
advection_diffusion,16,0.2,1,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.6458378594651828,0.5441124237388707,0.1017254357263121,0.4050621771960579,0.323810619170665,0.08125155802539291
advection_diffusion,16,0.2,3,tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.6830924826371567,0.5633166526197158,0.11977583001744097,0.3960962772658212,0.3198328369125531,0.0762634403532681
advection_diffusion,16,0.2,4,tv_diff,0.4,0.5,-0.09999999999999998,0.6590255188839007,0.609332614637556,0.04969290424634476,0.2411053931642339,0.3106877940907243,-0.06958240092649037
advection_diffusion,16,0.5,2,tv_diff,0.6666666666666666,0.4,0.2666666666666666,0.8935398348849044,0.7949654699607948,0.09857436492410965,0.3520742761174543,0.22284551245921,0.1292287636582443
advection_diffusion,16,0.5,0,tv_diff,0.4444444444444444,0.4,0.0444444444444444,0.907398053463466,0.8354516056665023,0.07194644779696369,0.2330108514252802,0.2179300172039944,0.015080834221285783
advection_diffusion,16,0.5,3,tv_diff,0.4,0.6666666666666666,-0.2666666666666666,0.927908602984092,0.8854606459034794,0.04244795708061255,0.2074787152154746,0.3535829125445425,-0.1461041973290679
advection_diffusion,16,0.5,1,tv_diff,0.4,0.4,0.0,0.8968621645309791,0.7519588013893377,0.14490336314164143,0.2108745735349224,0.2283158711739067,-0.017441297638984304
advection_diffusion,16,0.5,4,tv_diff,0.4444444444444444,0.5,-0.05555555555555558,0.9942041311632616,0.8963623410204395,0.09784179014282202,0.2228680792999814,0.2636626920839127,-0.04079461278393129
burgers,8,0.05,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.2666425867276,0.2024083953050696,0.0642341914225304,0.526325795178745,0.5544427910431571,-0.028116995864412075
burgers,8,0.05,2,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.2706115120118508,0.2162092348519052,0.05440227715994558,0.5246817460445367,0.5481512946642318,-0.02346954861969519
