setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.02,3,64.28923236262062,-8443.038699615596,-8439.01334792486,2,0.8,0.052497931703812714,1;4;6
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.03,2,64.80063774858964,-8432.166149297098,-8428.833944786922,2,1.0,0.044160906261112555,4;6
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.05,1,127.16640072743533,-6854.255398206896,-6852.175956665216,2,0.6666666666666666,0.156653403135227,4
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.0,8,104.54654973150821,-19269.666290566147,-19269.666290566147,2,0.4,0.023275780877832223,0;1;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.001,6,104.54890853588603,-19286.587867020084,-19283.25566250991,2,0.5,0.024245271061285885,0;1;3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.002,4,104.57058767346517,-19302.585566817026,-19298.337071574977,2,0.6666666666666666,0.024586272376435563,3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.01,2,104.83721156112603,-19306.887665638886,-19303.55546112871,2,1.0,0.011731921391686604,4;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.05,1,269.6314540893786,-14592.168555370834,-14590.089113829154,2,0.6666666666666666,0.15661918134206615,4
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.0,8,66.30832784566186,-8331.491897430124,-8331.491897430124,2,0.4,0.06060133103758915,0;1;2;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.002,7,66.31003429853389,-8339.194390512275,-8337.114948970595,2,0.4444444444444444,0.060275879671074575,0;1;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.003,5,66.43008515534702,-8350.466109819901,-8346.440758129165,2,0.5714285714285714,0.06450070588663698,1;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.013,3,66.6769625222903,-8357.26750197045,-8353.242150279713,2,0.8,0.05596111787356953,1;4;6
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.03,2,67.3085784624405,-8342.855418642263,-8339.523214132087,2,1.0,0.046500656397043996,4;6
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.05,1,128.3220554306542,-6832.977580485858,-6830.898138944179,2,0.6666666666666666,0.15741959639130182,4
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.0,8,141.32898232453374,-17762.376508298123,-17762.376508298123,2,0.4,0.027972044131481983,0;1;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.001,7,141.32975643775967,-17770.86631464032,-17768.78687309864,2,0.4444444444444444,0.027800567250862423,0;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.002,5,141.35894255598458,-17786.868253725734,-17782.842902034998,2,0.5714285714285714,0.024596198965386028,0;3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.003,4,141.39242525052458,-17794.201272461825,-17789.952777219776,2,0.6666666666666666,0.024407161882049857,3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.007,2,141.53346749434857,-17806.250528139957,-17802.918323629783,2,1.0,0.018629115975217516,4;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.05,1,301.6404343759221,-14031.27029698532,-14029.19085544364,2,0.6666666666666666,0.16386766169322953,4
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.0,8,67.84104042475133,-8277.744393316643,-8277.744393316643,2,0.4,0.0638941400345665,0;1;2;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.002,7,67.85726304875094,-8284.94505517308,-8282.8656136314,2,0.4444444444444444,0.06593202289401065,0;1;2;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.003,6,67.86924872156399,-8292.292677866724,-8288.960473356548,2,0.5,0.06555653939499152,1;2;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.005,5,67.88195474459877,-8299.615414809901,-8295.590063119165,2,0.5714285714285714,0.06544405642765815,1;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.02,3,68.18956462095404,-8304.507348761379,-8300.481997070643,2,0.8,0.0554842863845063,1;4;6
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.03,2,68.81557040865519,-8290.776637605151,-8287.444433094975,2,1.0,0.04607545796610397,4;6
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.05,1,130.10924377318125,-6800.446428059173,-6798.366986517493,2,0.6666666666666666,0.15721846181909077,4
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.0,8,116.93480875612914,-18709.74546459435,-18709.74546459435,2,0.4,0.020276518000255577,0;1;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.001,6,116.94034254030993,-18726.543238230974,-18723.2110337208,2,0.5,0.01946183868038663,0;1;3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.002,4,116.95659552257362,-18742.882746672072,-18738.634251430023,2,0.6666666666666666,0.019060538795005067,3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.003,2,116.97626466372874,-18759.076330220036,-18755.74412570986,2,1.0,0.01801320556375925,4;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.05,1,275.37134286121557,-14486.846141601232,-14484.766700059552,2,0.6666666666666666,0.16002428829617152,4
PDE,fisher_kpp,u_t,baseline,Baseline,0,0.01,4,0.0,8,3.937698820115455,-14972.878987690467,-14972.878987690467,3,0.5454545454545454,0.09158156631314307,0;1;2;3;4;5;6;7
PDE,fisher_kpp,u_t,baseline,Baseline,0,0.01,4,0.005,6,3.958158619650911,-14976.21596621347,-14972.883761703295,3,0.4444444444444444,0.09706276672642976,0;1;2;3;4;5
PDE,fisher_kpp,u_t,baseline,Baseline,0,0.01,4,0.013,5,3.9585765549519776,-14983.730656914644,-14979.705305223908,3,0.5,0.06012762186856796,0;1;2;4;5
