setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.0003,7,98.78339486171782,-19561.697992603564,-19559.618551061885,2,0.4444444444444444,0.027038731752992096,1;2;3;4;5;6;7,28.936488496270613
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.0,8,98.78336082287855,-19553.182522315332,-19553.182522315332,2,0.4,0.02703044975816493,0;1;2;3;4;5;6;7,35.37251724282396
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.05,1,380.4913114649215,-12870.132051287499,-12868.052609745819,2,0.6666666666666666,0.1700054827773676,4,2749.37158109094
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.01,2,219.12339860285616,-15620.756395346934,-15617.424190836758,2,1.0,0.023831179549385823,4;6,0.0
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.005,3,219.03551929576656,-15614.24485135443,-15610.219499663694,2,0.8,0.023827396391809814,4;5;6,7.20469117306493
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.003,5,218.98015408020075,-15598.474465764857,-15594.449114074121,2,0.5714285714285714,0.02525276694371143,0;2;4;5;6,22.9750767626374
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.001,7,218.797344984394,-15585.615924573318,-15583.536483031638,2,0.4444444444444444,0.03553112218271033,0;2;3;4;5;6;7,33.887707805120954
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.0,8,218.79525866580656,-15577.146408572287,-15577.146408572287,2,0.4,0.03575236814183625,0;1;2;3;4;5;6;7,40.27778226447117
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.05,1,270.82532677942413,-14570.078451698717,-14567.999010157037,2,0.6666666666666666,0.15612093711545597,4,4726.3161822322545
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.01,2,105.0311354986066,-19297.647396899465,-19294.31519238929,2,1.0,0.010743471096027751,4;6,0.0
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.003,4,104.7907630185588,-19292.069039982667,-19287.820544740618,2,0.6666666666666666,0.023662224509511533,3;4;5;6,6.494647648672981
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.001,5,104.78023547688929,-19284.054184507535,-19280.0288328168,2,0.5714285714285714,0.023230326227613687,1;3;4;5;6,14.286359572492074
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.0,8,104.75858808573209,-19259.535701848992,-19259.535701848992,2,0.4,0.02066070347740035,0;1;2;3;4;5;6;7,34.779490540298866
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.05,1,336.59660530600377,-13483.022781593387,-13480.943340051706,2,0.6666666666666666,0.16487161024450336,4,3229.674229236598
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.01,2,176.09019922962227,-16713.94977379848,-16710.617569288304,2,1.0,0.019580327930856324,4;6,0.0
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.003,4,175.87645517558627,-16702.988237716563,-16698.739742474514,2,0.6666666666666666,0.027750786024499874,3;4;5;6,11.877826813790307
