system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,5,5,0,cv,,0,"1,2,3,4,6,8",0.001,0.0106412330185057,4,1.0,0.0439198884900357,0.957927912884615,0.03,ok,,,,
burgers,baseline,Baseline,4,0.02,0.01,6,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1661035564654432,0.5717045136946403,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.01,6,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1602829661849569,0.5745724845540785,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,6,5,0,cv,,0,"1,2,3,4,6,8",0.001,0.0115224481208868,4,0.8,0.0596290778145583,0.754981169118129,0.03,ok,,,,
burgers,baseline,Baseline,4,0.02,0.01,7,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1668461237042673,0.5713406876223474,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.01,7,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1625072918746927,0.5734731053528109,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,7,5,0,cv,,0,"1,2,3,4,6,8",0.001,0.0112253472928756,4,1.0,0.0458631966337597,0.95614799642881,0.03,ok,,,,
burgers,baseline,Baseline,4,0.02,0.03,0,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2942764248250506,0.515088317981826,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.03,0,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2496379851863144,0.5334878377334777,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.03,0,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0489577519694649,4,0.6666666666666666,0.1543620375286077,0.5775195692453159,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.03,1,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2779661703809259,0.5216622177627378,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.03,1,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2421650502086393,0.5366973306443378,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.03,1,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0493436222426809,4,0.6666666666666666,0.1508597515765482,0.5792770715575103,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.03,2,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2769339627234599,0.5220839026356476,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.03,2,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2373356868246122,0.5387920786294788,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.03,2,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.048811832937136,4,0.6666666666666666,0.1537296529683251,0.5778361204043435,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.03,3,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2897465922644813,0.5168974050136176,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.03,3,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2522505764479445,0.5323748131605509,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.03,3,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.0491301598703088,4,0.6666666666666666,0.1533038120199764,0.578049478132757,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.03,4,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.2992585617863872,0.513113160285854,0.1,ok,,,,
