setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,baseline,6,64,0.1,0.7058823529411765,1.064616103094687,0.3418952084521272,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,6,64,0.1,0.5,1.3598600059024737,0.21187697522285295,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,6,64,0.1,0.6153846153846154,1.3209490851203443,0.2651435222469376,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,6,64,0.1,0.5217391304347826,1.7049625880448116,0.1928821983493323,0.1,ok
ODE,lorenz63,edmd_rbf,two_sided,6,64,0.1,0.3888888888888889,1.2539215963946888,0.17253878285338092,0.03,ok
ODE,lorenz63,edmd_poly3,baseline,7,64,0.1,0.5454545454545454,1.0506349877696946,0.2659929966608982,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,7,64,0.1,0.3888888888888889,2.9430482053719245,0.09862646070597741,0.03,ok
ODE,lorenz63,edmd_poly3,global_rollout,7,64,0.1,0.625,2.1555442809601426,0.1980640879518351,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,7,64,0.1,0.6153846153846154,1.0299068010481927,0.30315904900995766,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,7,64,0.1,0.4444444444444444,4.305901673566511,0.0837641689929204,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,7,64,0.1,0.5454545454545454,1.0506349877696946,0.2659929966608982,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,7,64,0.1,0.4,1.1275996662490935,0.1880052936392824,1.0,ok
ODE,lorenz63,edmd_rbf,global_rollout,7,64,0.1,0.4444444444444444,1.2836938557614057,0.19461647336098925,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,7,64,0.1,0.6153846153846154,1.0544305803663994,0.2995402333209351,1.0,ok
ODE,lorenz63,edmd_rbf,two_sided,7,64,0.1,0.5333333333333333,1.1214604033846294,0.2513991458348411,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,8,64,0.1,0.6153846153846154,1.0249373710849694,0.30390303629731025,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,8,64,0.1,0.45161290322580644,2.126164824467669,0.14446228160817087,0.1,ok
ODE,lorenz63,edmd_poly3,global_rollout,8,64,0.1,0.47619047619047616,1.8864805146894852,0.16497269729246816,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,8,64,0.1,0.3333333333333333,0.945001454757267,0.1713794776441094,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,8,64,0.1,0.4444444444444444,3.0599488308075107,0.1094704546697565,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,8,64,0.1,0.6153846153846154,1.0249373710849694,0.30390303629731025,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,8,64,0.1,0.3684210526315789,1.6354563009565655,0.1397940282667016,0.03,ok
ODE,lorenz63,edmd_rbf,global_rollout,8,64,0.1,0.6153846153846154,1.4298376640849457,0.25326161680696624,1.0,ok
