setting,system,method,strategy,seed,sparse_factor,noise,support_f1_archived,coef_error_archived,practical_score_archived,threshold_archived,status_archived,support_f1_reexecuted,coef_error_reexecuted,practical_score_reexecuted,threshold_reexecuted,status_reexecuted,coefficient_error_drift
ODE,vanderpol_mu2,edmd_rbf,baseline,9,64,0.1,1.0,0.3546969445581088,0.7381724776283392,0.3,ok,1.0,0.3546969445581114,0.7381724776283377,0.3,ok,2.609024107869118e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,10,64,0.1,1.0,0.3320752351329286,0.7507083486168177,0.3,ok,1.0,0.3320752351329319,0.7507083486168159,0.3,ok,3.3306690738754696e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,10,64,0.1,1.0,0.3320752351329286,0.7507083486168177,0.3,ok,1.0,0.3320752351329319,0.7507083486168159,0.3,ok,3.3306690738754696e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,11,64,0.1,1.0,0.2644704597773442,0.7908448886786064,0.3,ok,1.0,0.2644704597773446,0.7908448886786061,0.3,ok,4.440892098500626e-16
ODE,vanderpol_mu2,edmd_rbf,baseline,11,64,0.1,1.0,0.2644704597773442,0.7908448886786064,0.3,ok,1.0,0.2644704597773446,0.7908448886786061,0.3,ok,4.440892098500626e-16
ODE,vanderpol_mu2,edmd_poly3,baseline,12,64,0.1,1.0,0.3005714077975095,0.7688928066575591,0.3,ok,1.0,0.3005714077975122,0.7688928066575574,0.3,ok,2.6645352591003757e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,12,64,0.1,1.0,0.3005714077975095,0.7688928066575591,0.3,ok,1.0,0.3005714077975122,0.7688928066575574,0.3,ok,2.6645352591003757e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,13,64,0.1,1.0,0.3936210863848851,0.7175551588373598,0.3,ok,1.0,0.3936210863848881,0.7175551588373581,0.3,ok,2.9976021664879227e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,13,64,0.1,1.0,0.3936210863848851,0.7175551588373598,0.3,ok,1.0,0.3936210863848881,0.7175551588373581,0.3,ok,2.9976021664879227e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,14,64,0.1,1.0,0.3266269780252675,0.7537913946907189,0.3,ok,1.0,0.3266269780252693,0.7537913946907178,0.3,ok,1.7763568394002505e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,14,64,0.1,1.0,0.3266269780252675,0.7537913946907189,0.3,ok,1.0,0.3266269780252693,0.7537913946907178,0.3,ok,1.7763568394002505e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,15,64,0.1,1.0,0.3309811656078096,0.7513254325754017,0.3,ok,1.0,0.3309811656078114,0.7513254325754007,0.3,ok,1.7763568394002505e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,15,64,0.1,1.0,0.3309811656078096,0.7513254325754017,0.3,ok,1.0,0.3309811656078114,0.7513254325754007,0.3,ok,1.7763568394002505e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,16,64,0.1,1.0,0.338355362291692,0.7471857087998515,0.3,ok,1.0,0.3383553622916946,0.7471857087998501,0.3,ok,2.609024107869118e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,16,64,0.1,1.0,0.338355362291692,0.7471857087998515,0.3,ok,1.0,0.3383553622916946,0.7471857087998501,0.3,ok,2.609024107869118e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,17,64,0.1,1.0,0.3893597678610848,0.7197559790719268,0.3,ok,1.0,0.3893597678610875,0.7197559790719253,0.3,ok,2.7200464103316335e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,17,64,0.1,1.0,0.3893597678610848,0.7197559790719268,0.3,ok,1.0,0.3893597678610875,0.7197559790719253,0.3,ok,2.7200464103316335e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,18,64,0.1,0.8888888888888888,0.3149147736369106,0.6760049447389805,0.3,ok,0.8888888888888888,0.3149147736369149,0.6760049447389783,0.3,ok,4.274358644806853e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,18,64,0.1,0.8888888888888888,0.3149147736369106,0.6760049447389805,0.3,ok,0.8888888888888888,0.3149147736369149,0.6760049447389783,0.3,ok,4.274358644806853e-15
ODE,vanderpol_mu2,edmd_poly3,baseline,19,64,0.1,1.0,0.3791353399811241,0.7250919985950667,0.3,ok,1.0,0.3791353399811265,0.7250919985950653,0.3,ok,2.3869795029440866e-15
ODE,vanderpol_mu2,edmd_rbf,baseline,19,64,0.1,1.0,0.3791353399811241,0.7250919985950667,0.3,ok,1.0,0.3791353399811265,0.7250919985950653,0.3,ok,2.3869795029440866e-15
PDE,burgers,pod_edmd_rbf,baseline,0,32,0.1,0.6666666666666666,0.7810405509431955,0.3743130196073392,0.1,ok,0.6666666666666666,0.7810405509432518,0.3743130196073274,0.1,ok,5.6288307348495437e-14
PDE,burgers,pod_edmd_rbf,baseline,1,32,0.1,0.6666666666666666,0.7746496659147195,0.375660999165738,0.1,ok,0.6666666666666666,0.774649665914764,0.3756609991657286,0.1,ok,4.451994328746878e-14
PDE,burgers,pod_edmd_rbf,baseline,2,32,0.1,0.6666666666666666,0.7676371560706361,0.3771513086705143,0.1,ok,0.6666666666666666,0.7676371560706188,0.377151308670518,0.1,ok,-1.7319479184152442e-14
PDE,burgers,pod_edmd_rbf,baseline,3,32,0.1,0.6666666666666666,0.7244052391540642,0.3866067276585817,0.1,ok,0.6666666666666666,0.7244052391541062,0.3866067276585722,0.1,ok,4.196643033083092e-14
PDE,burgers,pod_edmd_rbf,baseline,4,32,0.1,0.6666666666666666,0.752989746853759,0.380302661703065,0.1,ok,0.6666666666666666,0.7529897468537057,0.3803026617030765,0.1,ok,-5.3290705182007514e-14
PDE,burgers,pod_edmd_rbf,baseline,5,32,0.1,0.6666666666666666,0.7281242181150802,0.3857747375323639,0.1,ok,0.6666666666666666,0.7281242181151228,0.3857747375323543,0.1,ok,4.263256414560601e-14
PDE,burgers,pod_edmd_rbf,baseline,6,32,0.1,0.6666666666666666,0.7433028829326629,0.3824158573897209,0.1,ok,0.6666666666666666,0.7433028829327157,0.3824158573897093,0.1,ok,5.284661597215745e-14
PDE,burgers,pod_edmd_rbf,baseline,7,32,0.1,0.6666666666666666,0.7314545303200417,0.3850327311474013,0.1,ok,0.6666666666666666,0.7314545303200076,0.3850327311474089,0.1,ok,-3.4083846855992306e-14
PDE,burgers,pod_edmd_rbf,baseline,8,32,0.1,0.6666666666666666,0.7603189565997001,0.3787192452636115,0.1,ok,0.6666666666666666,0.7603189565996531,0.3787192452636216,0.1,ok,-4.696243394164412e-14
PDE,burgers,pod_edmd_rbf,baseline,9,32,0.1,0.6666666666666666,0.777220886657034,0.3751175060296932,0.1,ok,0.6666666666666666,0.7772208866570318,0.3751175060296936,0.1,ok,-2.220446049250313e-15
PDE,burgers,pod_edmd_rbf,baseline,10,32,0.1,0.6666666666666666,0.736029768637019,0.3840179924967968,0.1,ok,0.6666666666666666,0.736029768636991,0.3840179924968029,0.1,ok,-2.7977620220553945e-14
PDE,burgers,pod_edmd_rbf,baseline,11,32,0.1,0.6666666666666666,0.7447386612860306,0.3821011601676051,0.1,ok,0.6666666666666666,0.7447386612860172,0.3821011601676081,0.1,ok,-1.3433698597964394e-14
PDE,burgers,pod_edmd_rbf,baseline,12,32,0.1,0.6666666666666666,0.7431247256968265,0.3824549424598185,0.1,ok,0.6666666666666666,0.7431247256967809,0.3824549424598285,0.1,ok,-4.5630166312093934e-14
