setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,residual_corrected,5,64,0.1,0.4117647058823529,1.4754118333562152,0.1663418992887634,0.03,ok
ODE,lorenz63,edmd_rbf,two_sided,5,64,0.1,0.3529411764705882,1.1307195545485655,0.1656441251112306,0.03,ok
ODE,lorenz63,edmd_poly3,baseline,6,64,0.1,0.7058823529411765,1.0646161030934618,0.34189520845233,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,6,64,0.1,0.5714285714285714,1.075004636835889,0.2753866479546404,1.0,ok
ODE,lorenz63,edmd_poly3,global_rollout,6,64,0.1,0.4,2.2943029210322123,0.1214217421980936,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,6,64,0.1,0.4,0.9560420129183028,0.2044945851665133,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,6,64,0.1,0.5333333333333333,1.5470414748432149,0.2093932661093251,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,6,64,0.1,0.7058823529411765,1.0646161030934618,0.34189520845233,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,6,64,0.1,0.4166666666666667,0.8912570145565752,0.2203120271119568,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,6,64,0.1,0.5217391304347826,0.8827917481007772,0.2771093143790729,0.1,ok
ODE,lorenz63,edmd_rbf,residual_corrected,6,64,0.1,0.4444444444444444,1.1700851117180875,0.204805075176324,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,6,64,0.1,0.3888888888888889,1.2539105861639466,0.1725396256959599,0.03,ok
ODE,lorenz63,edmd_poly3,baseline,7,64,0.1,0.5454545454545454,1.050634987769901,0.2659929966608714,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,7,64,0.1,0.3888888888888889,2.943048212241661,0.0986264605341464,0.03,ok
ODE,lorenz63,edmd_poly3,global_rollout,7,64,0.1,0.625,2.1555442811532948,0.1980640879397115,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,7,64,0.1,0.6153846153846154,1.0299068010876011,0.3031590490040721,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,7,64,0.1,0.4444444444444444,4.305901673186075,0.0837641689989263,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,7,64,0.1,0.5454545454545454,1.050634987769901,0.2659929966608714,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,7,64,0.1,0.5,1.1234634174711888,0.2354643813904008,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,7,64,0.1,0.3636363636363636,1.2218589622890308,0.1636631171502145,0.3,ok
ODE,lorenz63,edmd_rbf,residual_corrected,7,64,0.1,0.5,1.1804835036827517,0.2293069400229442,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,7,64,0.1,0.5333333333333333,1.1214457297562648,0.2514008847139392,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,8,64,0.1,0.6153846153846154,1.0249373710853225,0.3039030362972572,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,8,64,0.1,0.5263157894736842,1.9604634396842735,0.1777815535292726,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,8,64,0.1,0.4210526315789473,2.940021783173539,0.1068655593167318,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,8,64,0.1,0.4,0.9481113081770136,0.2053270767029777,1.0,ok
